Name,KO EXPORTS OF GOODS & SERVICES CURN,KO GOVERNMENT CONSUMPTION CURN,KO GFCF CURN,KO INCREASE/DECREASE (-) IN STOCKS CURN,KO PRIVATE CONSUMPTION CURN,KO NET FACTOR INCOME/PAYMENTS (-) ABROAD CURN,KO IMPORTS OF GOODS & SERVICES CURN,KO GROSS NATIONAL INCOME (FORMERLY GNP) CURN,KO GDP CURN,KO GDP DEFLATOR CONN,KO BOP: BALANCE ON GOODS & SERVICES CURN,"KO BOP: BALANCE ON GOODS, SERVICES & INCOME CURN",KO BOP: CURRENT ACCOUNT BALANCE CURN,KO NATIONAL CURRENCY UNIT TO US $ - MARKET RATE (EP),KO NATIONAL CURRENCY UNIT TO US $ - EXCHANGE RATE (AVG)
Code,KOY90C..A,KOY91F..A,KOY93E..A,KOY93I..A,KOY96F..A,KOY98.N.A,KOY98C..A,KOY99A..A,KOY99B..A,KOY99BIPC,KOY78AFDA,KOY78AIDA,KOY78ALDA,KOY..AE.,KOY..AF.
1950,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,2.5,2.5
1951,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,6,6
1952,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,6,6
1953,1,4,4,4,40,1,5,48,47,0.2,#NA,#NA,#NA,18,18
1954,1,7,6,2,55,1,5,66,66,0.3,#NA,#NA,#NA,18,18
1955,2,10,12,2,98,1,11,115,113,0.4,#NA,#NA,#NA,50,50
1956,2,14,16,-2,141,1,20,152,150,0.6,#NA,#NA,#NA,50,50
1957,3,21,21,9,165,1,24,197,196,0.7,#NA,#NA,#NA,50,50
1958,4,26,21,6,169,1,22,205,203,0.7,#NA,#NA,#NA,50,50
1959,6,31,24,0,177,2,22,218,216,0.7,#NA,#NA,#NA,50,50
1960,8,36,27,0,207,2,31,245,243,0.8,#NA,#NA,#NA,65,63.13
1961,16,40,34,4,246,3,44,294,291,0.9,#NA,#NA,#NA,130,124.79
1962,18,50,49,-3,294,3,59,356,352,1.1,#NA,#NA,#NA,130,130
1963,24,55,68,23,405,3,80,503,500,1.4,#NA,#NA,#NA,130,130
1964,42,61,81,19,593,5,96,716,711,1.8,#NA,#NA,#NA,255.77,213.85
1965,69,75,119,2,672,8,128,806,798,1.9,#NA,#NA,#NA,271.78,266.4
1966,107,103,210,14,811,13,208,1037,1024,2.2,#NA,#NA,#NA,271.18,271.34
1967,145,130,275,6,1005,22,279,1281,1259,2.5,#NA,#NA,#NA,274.6,270.52
1968,209,173,414,14,1231,23,417,1653,1630,2.9,#NA,#NA,#NA,281.5,276.64
1969,288,221,556,66,1529,25,542,2155,2130,3.3,#NA,#NA,#NA,304.45,288.16
1970,376,249,696,-2,2041,27,652,2752,2725,3.9,#NA,#NA,#NA,316.65,310.56
1971,510,320,769,91,2548,9,866,3388,3379,4.5,#NA,#NA,#NA,373.3,347.15
1972,815,411,871,22,3055,-8,1011,4164,4172,5.3,#NA,#NA,#NA,398.9,392.89
1973,1561,444,1298,80,3705,-25,1725,5353,5378,6.1,#NA,#NA,#NA,397.5,398.32
1974,2074,724,2069,380,5323,-20,2929,7577,7597,8,#NA,#NA,#NA,484,404.47
1975,2785,1114,2745,191,7248,-124,3652,10104,10228,10.1,#NA,#NA,#NA,484,484
1976,4281,1517,3594,167,9235,-131,4536,13867,13998,12.4,-254,-656,-310,484,484
1977,5560,1929,5107,51,11250,-158,5681,17788,17946,14.5,282,-211,12,484,484
1978,7010,2534,7924,110,14786,-114,7894,24119,24233,17.9,-916,-1556,-1085,484,484
