Name,KO EXPORTS OF GOODS & SERVICES CURN,KO GOVERNMENT CONSUMPTION CURN,KO GFCF CURN,KO INCREASE/DECREASE (-) IN STOCKS CURN,KO PRIVATE CONSUMPTION CURN,KO NET FACTOR INCOME/PAYMENTS (-) ABROAD CURN,KO IMPORTS OF GOODS & SERVICES CURN,KO GROSS NATIONAL INCOME (FORMERLY GNP) CURN,KO GDP CURN,KO GDP DEFLATOR CONN,KO GDP: STATISTICAL DISCREPANCY CURN,KO LOSSES ON FIXED CAP. & STOCKS CURN,KO BOP: BALANCE ON GOODS & SERVICES CURN,KO BOP: CURRENT ACCOUNT BALANCE CURN,KO NATIONAL CURRENCY UNIT TO US $ - EXCHANGE RATE (AVG),KO INTERNATIONAL INVESTMENT POSITION (IIP) ASSETS CURN,KO INTERNATIONAL INVESTMENT POSITION (IIP) LIABILITIES CURN
Code,KOY90C..A,KOY91F..A,KOY93E..A,KOY93I..A,KOY96F..A,KOY98.N.A,KOY98C..A,KOY99A..A,KOY99B..A,KOY99BIPC,KOY99BS.A,KOI99CF.A,KOY78AFDA,KOY78ALDA,KOY..AF.,KOI79AADA,KOI79LADA
1950,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,2.5,#NA,#NA
1951,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,6,#NA,#NA
1952,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,6,#NA,#NA
1953,1,4,4,4,40,1,5,48,47,0.2,#NA,2,#NA,#NA,18,#NA,#NA
1954,1,7,6,2,55,1,5,66,66,0.3,#NA,4,#NA,#NA,18,#NA,#NA
1955,2,10,12,2,98,1,11,115,113,0.4,#NA,6,#NA,#NA,50,#NA,#NA
1956,2,14,16,-2,141,1,20,152,150,0.6,#NA,7,#NA,#NA,50,#NA,#NA
1957,3,21,21,9,165,1,24,197,196,0.7,#NA,9,#NA,#NA,50,#NA,#NA
1958,4,26,21,6,169,1,22,205,203,0.7,#NA,10,#NA,#NA,50,#NA,#NA
1959,6,31,24,0,177,2,22,218,216,0.7,#NA,12,#NA,#NA,50,#NA,#NA
1960,8,36,27,0,207,2,31,245,243,0.8,-4,12,#NA,#NA,63.13,#NA,#NA
1961,16,40,34,4,246,3,44,294,291,0.9,-5,15,#NA,#NA,124.79,#NA,#NA
1962,18,50,49,-3,294,3,59,356,352,1.1,4,19,#NA,#NA,130,#NA,#NA
1963,24,55,68,23,405,3,80,503,500,1.4,5,26,#NA,#NA,130,#NA,#NA
1964,42,61,81,19,593,5,96,716,711,1.8,11,37,#NA,#NA,213.85,#NA,#NA
1965,69,75,119,2,672,8,128,806,798,1.9,-10,46,#NA,#NA,266.4,#NA,#NA
1966,107,103,210,14,811,13,208,1037,1024,2.2,-14,59,#NA,#NA,271.34,#NA,#NA
1967,145,130,275,6,1005,22,279,1281,1259,2.5,-22,77,#NA,#NA,270.52,#NA,#NA
1968,209,173,414,14,1231,23,417,1653,1630,2.9,6,106,#NA,#NA,276.64,#NA,#NA
1969,288,221,556,66,1529,25,542,2155,2130,3.3,14,137,#NA,#NA,288.16,#NA,#NA
1970,376,249,696,-2,2041,27,652,2752,2725,3.9,23,187,#NA,#NA,310.56,#NA,#NA
1971,510,320,769,91,2548,9,866,3388,3379,4.5,3,242,#NA,#NA,347.15,#NA,#NA
1972,815,411,871,22,3055,-8,1011,4164,4172,5.3,-9,302,#NA,#NA,392.89,#NA,#NA
