Name,MX EXPORTS OF GOODS & SERVICES CURA,MX GOVERNMENT CONSUMPTION CURA,MX GFCF CURA,MX INCREASE/DECREASE(-) IN STOCKS CURA,MX PRIVATE CONSUMPTION CURA,MX IMPORTS OF GOODS & SERVICES CURA,MX GDP CURA,MX GDP DEFLATOR VOLN,MX BOP: BALANCE ON GOODS & SERVICES CURN,MX BOP: CURRENT ACCOUNT BALANCE CURN,MX NATIONAL CURRENCY UNIT TO US $ - EXCHANGE RATE (AVG),MX GOVERNMENT LENDING MINUS REPAYMENTS CURN,MX INTERNATIONAL INVESTMENT POSITION (IIP) ASSETS CURN,MX INTERNATIONAL INVESTMENT POSITION (IIP) LIABILITIES CURN
Code,MXY90C.CB,MXY91F.CB,MXY93E.CB,MXY93I.CB,MXY96F.CB,MXY98C.CB,MXY99B.CB,MXY99BIRH,MXY78AFDA,MXY78ALDA,MXY..AF.,MXY83...A,MXI79AADA,MXI79LADA
1950,0,0,0,-1,0,0,0,0,#NA,#NA,8.65,#NA,#NA,#NA
1951,0,0,0,0,0,0,0,0,#NA,#NA,8.65,#NA,#NA,#NA
1952,0,0,0,0,0,0,0,0,#NA,#NA,8.65,#NA,#NA,#NA
1953,0,0,0,0,0,0,0,0,#NA,#NA,8.65,#NA,#NA,#NA
1954,0,0,0,0,0,0,0,0,#NA,#NA,0.01,#NA,#NA,#NA
1955,0,0,0,0,0,0,0,0,#NA,#NA,0.01,#NA,#NA,#NA
1956,0,0,0,0,0,0,0,0,#NA,#NA,0.01,#NA,#NA,#NA
1957,0,0,0,0,0,0,0,0,#NA,#NA,0.01,#NA,#NA,#NA
1958,0,0,0,0,0,0,0,0,#NA,#NA,0.01,#NA,#NA,#NA
1959,0,0,0,0,0,0,0,0,#NA,#NA,0.01,#NA,#NA,#NA
1960,0,0,0,0,0,0,0,0,#NA,#NA,0.01,#NA,#NA,#NA
1961,0,0,0,0,0,0,0,0,#NA,#NA,0.01,#NA,#NA,#NA
1962,0,0,0,0,0,0,0,0,#NA,#NA,0.01,#NA,#NA,#NA
1963,0,0,0,0,0,0,0,0,#NA,#NA,0.01,#NA,#NA,#NA
1964,0,0,0,0,0,0,0,0,#NA,#NA,0.01,#NA,#NA,#NA
1965,0,0,0,0,0,0,0,0,#NA,#NA,0.01,#NA,#NA,#NA
1966,0,0,0,0,0,0,0,0,#NA,#NA,0.01,#NA,#NA,#NA
1967,0,0,0,0,0,0,0,0,#NA,#NA,0.01,#NA,#NA,#NA
1968,0,0,0,0,0,0,0,0,#NA,#NA,0.01,#NA,#NA,#NA
1969,0,0,0,0,0,0,0,0,#NA,#NA,0.01,#NA,#NA,#NA
1970,0,0,0,0,0,0,0,0,#NA,#NA,0.01,#NA,#NA,#NA
1971,0,0,0,0,0,0,0,0,#NA,#NA,0.01,#NA,#NA,#NA
1972,0,0,0,0,0,0,1,0,#NA,#NA,0.01,#NA,#NA,#NA
1973,0,0,0,0,0,0,1,0,#NA,#NA,0.01,#NA,#NA,#NA
1974,0,0,0,0,1,0,1,0,#NA,#NA,0.01,#NA,#NA,#NA
1975,0,0,0,0,1,0,1,0,#NA,#NA,0.01,#NA,#NA,#NA
1976,0,0,0,0,1,0,1,0.1,#NA,#NA,0.02,#NA,#NA,#NA
1977,0,0,0,0,1,0,2,0.1,#NA,#NA,0.02,#NA,#NA,#NA
1978,0,0,0,0,2,0,2,0.1,#NA,#NA,0.02,#NA,#NA,#NA
1979,0,0,1,0,2,0,3,0.1,-1851,-5409,0.02,#NA,#NA,#NA
1980,0,0,1,0,3,1,4,0.1,-4979,-10422,0.02,12,#NA,#NA
1981,1,1,2,0,4,1,6,0.2,-7383,-16240,0.02,10,#NA,#NA
1982,2,1,2,0,6,1,10,0.3,5117,-5889,0.06,12,#NA,#NA
1983,3,2,3,1,11,2,18,0.5,13715,5866,0.12,30,#NA,#NA
1984,5,3,5,0,19,3,29,0.8,12790,4183,0.17,34,#NA,#NA
1985,7,4,9,1,31,5,47,1.3,7683,800,0.26,32,#NA,#NA
1986,14,7,15,-1,54,11,79,2.3,4416,-1377,0.61,145,#NA,#NA
1987,38,17,36,1,127,26,193,5.5,8913,4247,1.38,193,#NA,#NA
1988,83,35,77,17,282,77,416,11.7,2414,-2374,2.27,55,#NA,#NA
1989,104,45,95,31,378,105,549,14.8,-267,-5825,2.46,518,#NA,#NA
1990,137,62,132,39,514,146,739,18.9,-3110,-7451,2.81,683,#NA,#NA
1991,155,86,177,44,669,183,949,23.3,-9369,-14888,3.02,-31081,#NA,#NA
1992,171,112,221,42,808,228,1125,26.7,-18618,-24442,3.09,-30832,#NA,#NA
1993,192,139,233,31,903,241,1256,29.2,-16010,-23400,3.12,-3683,#NA,#NA
1994,239,164,275,34,1016,307,1420,31.6,-21185,-29662,3.38,-5429,#NA,#NA
1995,559,192,297,67,1232,510,1837,43.6,7153,-1576,6.42,3263,#NA,#NA
1996,812,244,451,132,1646,759,2526,57,6436,-2537,7.6,2620,#NA,#NA
1997,962,315,619,201,2042,966,3174,67.1,-807,-7695,7.92,-12694,#NA,#NA
1998,1180,400,804,131,2593,1263,3846,77.5,-9181,-16017,9.14,-11529,#NA,#NA
1999,1414,506,974,105,3084,1489,4595,89.2,-8350,-14069,9.56,1503,#NA,#NA
2000,1704,613,1174,129,3683,1811,5492,100,-11942,-18547,9.46,11794,#NA,#NA
2001,1599,683,1162,51,4045,1730,5810,105.8,-14110,-17604,9.34,5326,110255,352575
2002,1678,760,1206,87,4327,1795,6263,113.2,-12553,-13072,9.66,-22431,104349,353612
2003,1919,856,1305,111,4731,2031,6891,122.8,-11209,-6613,10.79,6937,#NA,#NA
2004,2296,890,1541,120,5227,2439,7635,130.5,-14219,-7813,11.29,73,#NA,#NA
2005,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA
