Name,IT CONSUMPTION OF FIXED CAPITAL CURA,IT COMPENSATION OF EMPLOYEES CURA,IT OPERATING SURPLUS & MIXED INCOME CURA,IT RESIDUAL - GDP BY INCOME CURA,IT TAXES LESS SUBSIDIES ON PRODUCTION & IMPORTS CURA,IT GDP CURA
Code,ITOCOS01B,ITOCOS02B,ITOCOS12B,ITOCOS14B,ITOCOS15B,ITOEXP03B
Q1 1980,5591.63,22773.23,16213.35,0,2601.42,47179.64
Q2 1980,6041.27,23842.66,16918.89,0,2714,49516.82
Q3 1980,6483.73,25211.96,17708.35,0,3154.12,52558.15
Q4 1980,6919.02,26361.84,18111.41,0,2912.46,54304.73
Q1 1981,7347.14,27684.79,18486.71,0,3234.09,56752.74
Q2 1981,7768.69,29163.9,19474.96,0,3090.07,59497.62
Q3 1981,8183.68,30644.47,20084.27,0,3044.45,61956.86
Q4 1981,8592.09,31910.93,21353.38,0,3340.4,65196.79
Q1 1982,8993.92,32833.38,22475.16,0,3651.56,67954
Q2 1982,9386.85,34089.29,22894.36,0,3695.34,70065.81
Q3 1982,9770.86,35183.2,23677.6,0,4245.71,72877.38
Q4 1982,10145.95,36959.32,24370,0,4661.39,76136.63
Q1 1983,10512.14,37652.95,25723.77,0,4937.7,78826.5
Q2 1983,10877.89,39326.94,25785.26,0,5224.94,81215
Q3 1983,11243.2,40816.84,27505.09,0,5446.36,85011.44
Q4 1983,11608.09,41964.07,30713.16,0,5559,89844.31
Q1 1984,11972.54,43178.75,31384.19,0,5764.57,92300.06
Q2 1984,12366.93,44007.32,31472.97,0,6316.28,94163.5
Q3 1984,12791.25,45050.03,33429.46,0,6110.27,97381
Q4 1984,13245.49,45976.89,33871.96,0,5925.86,99020.19
Q1 1985,13729.68,47717.03,34705.19,0,6273.3,102425.2
Q2 1985,14148.69,49216.73,36243.18,0,6754.8,106363.4
Q3 1985,14502.54,50359.48,37146.31,0,7098.63,109106.9
Q4 1985,14791.21,51731.15,38560.55,0,6930.26,112013.1
Q1 1986,15014.73,52476.54,40103.72,0,7282.33,114877.3
Q2 1986,15268.98,53326.17,41808.82,0,7278.96,117682.9
Q3 1986,15553.98,54075.75,43465.77,0,7554.5,120650
Q4 1986,15869.72,55168.74,43293.59,0,8262.2,122594.3
Q1 1987,16216.21,56223.52,44190.25,0,8008.13,124638.1
Q2 1987,16582.94,57765.48,45691.89,0,8823.08,128863.4
Q3 1987,16969.92,59018.83,45476.53,0,9471.24,130936.5
Q4 1987,17377.15,60257.16,46842.07,0,10393.54,134869.9
Q1 1988,17804.63,61995.08,48337.9,0,11199.84,139337.4
Q2 1988,18236.23,62996.74,50419.56,0,10760.58,142413.1
Q3 1988,18671.96,64836.21,50463.49,0,12015.08,145986.7
Q4 1988,19111.82,66119.31,52724.13,0,11936.49,149891.8
Q1 1989,19555.81,67935.94,54596.98,0,11691.32,153780.1
Q2 1989,20024.68,68781.38,54610.34,0,12684.91,156101.3
Q3 1989,20518.43,70665.69,56412.98,0,12597.55,160194.7
Q4 1989,21037.05,73023.13,57150.88,0,13512.21,164723.3
Q1 1990,21580.56,74958.69,59310.82,0,14069.05,169919.1
Q2 1990,22121.04,77475.13,58961.88,0,15234.6,173792.6
Q3 1990,22658.51,80003.75,59336.61,0,15916.09,177914.9
Q4 1990,23192.95,81338.63,59041.45,0,16326.85,179899.9
Q1 1991,23724.38,83551.88,61220.06,0,16957.96,185454.3
Q2 1991,24232.26,85068.13,62824.53,0,17223.8,189348.7
Q3 1991,24716.61,86620,65504.59,0,17184.35,194025.6
Q4 1991,25177.41,88567.06,64217.11,0,19205.89,197167.4
Q1 1992,25614.68,89168,66755.31,0,19006.34,200544.4
Q2 1992,26049.88,90000.13,65565.31,0,18964.91,200580.2
Q3 1992,26482.99,90451.19,65810.31,0,18842.45,201586.9
Q4 1992,26914.02,90648.44,65357.12,0,19155.3,202074.9
Q1 1993,27342.98,91134.56,66344.5,0,20494.16,205316.3
Q2 1993,27753.47,91884.75,66085.75,0,20779.9,206503.9
Q3 1993,28145.51,92190.38,66270.63,0,20702.48,207309.1
Q4 1993,28519.09,92183.94,68212.56,0,20801.45,209717.1
Q1 1994,28874.2,92532.63,70473.38,0,21708.2,213588.4
Q2 1994,29274.93,93778.75,71986,0,22097.23,217136.9
Q3 1994,29721.26,94315.31,74343.31,0,22830.11,221210
Q4 1994,30213.2,95188.31,78085.5,0,22436.45,225923.5
Q1 1995,30750.75,96337.13,79033.88,0,23873.09,229994.9
Q2 1995,31267,96662.44,80288.06,0,25783.29,234000.9
Q3 1995,31761.96,98139.81,84943.94,0,25331.15,240176.9
Q4 1995,32235.62,99290.19,86934.81,0,25584.46,244045.1
Q1 1996,32687.99,102520.6,88853.31,0,25652.38,249714.3
Q2 1996,33138.2,102897.3,88388.88,0,24709.43,249133.9
Q3 1996,33586.25,104272.8,88537.88,0,26152.9,252549.8
Q4 1996,34032.13,105762.1,85305.75,0,26973.58,252073.6
Q1 1997,34475.85,107347.9,87263.06,0,27567.18,256654.1
Q2 1997,34910.59,108423.6,89057.94,0,28550.83,260943.1
Q3 1997,35336.36,109878.8,89641.25,0,29189.95,264046.4
Q4 1997,35753.15,110361.1,91431.44,0,30063.43,267609.2
Q1 1998,36160.96,106748.7,89248.19,0,37507.55,269665.5
Q2 1998,36555.03,108041.1,89790.44,0,37461.12,271847.7
Q3 1998,36935.35,108258,91515.06,0,37148.24,273856.7
Q4 1998,37301.92,109871.1,88174,0,39873.07,275220.1
Q1 1999,37654.75,109532.2,92924.38,0,37448.47,277559.8
Q2 1999,38086.52,111396.2,91463.38,0,38469,279415.1
Q3 1999,38597.22,113244.9,91171.44,0,39353.75,282367.4
Q4 1999,39186.86,114180.5,94113.31,0,39042.77,286523.5
Q1 2000,39855.44,114702.5,97104.75,0,40754.68,292417.4
Q2 2000,40484.53,116007.3,100296.1,0,39965.3,296753.3
Q3 2000,41074.13,117511.4,101510.2,0,40426.41,300522.1
Q4 2000,41624.25,119171.5,100814.8,0,40616.25,302226.8
Q1 2001,42134.88,120924.1,103991.6,0,41245.47,308296.1
Q2 2001,42688.9,122203.3,106262.8,0,40368.52,311523.5
Q3 2001,43286.3,124618.8,104708.8,0,40623.69,313237.6
Q4 2001,43927.09,125548.7,105393.5,0,40746.3,315615.6
Q1 2002,44611.27,127570.8,105704.8,0,41110,318996.8
Q2 2002,45220.98,128174.3,106339.1,0,42019.19,321753.6
Q3 2002,45756.21,129659.8,107534,0,42705.34,325655.3
Q4 2002,46216.98,130605,108141.8,0,43893.45,328857.3
Q1 2003,46603.27,130729.4,108246.9,0,42433.48,328013.1
