Name,US GROSS DOMESTIC PRODUCT,US GDP VA - PRIVATE INDUSTRIES,"US GDP VA PRIV.INDS-AGRICULTURE,FORESTRY,FISHING, & HUNTING",US GDP VA PRIV. INDS - MINING,US GDP VA PRIV. INDS - UTILITIES,US GDP VA PRIV. INDS - CONSTRUCTION,US GDP VA PRIV. INDS - MANUFACTURING,US GDP VA PRIV. INDS - WHOLESALE TRADE,US GDP VA PRIV. INDS - RETAIL TRADE,US GDP VA PRIV. INDS - TRANPORTATION & WAREHOUSING,US GDP VA PRIV. INDS - INFORMATION,"US GDP VA PRIV.INDS-FINANCE,INSUR,REAL ESTATE,RENTAL & LEASE",US GDP VA PRIV. INDS - PROFESSIONAL & BUSINESS SERVICES,US GDP VA PRIV. INDS - EDUCATIONAL SERVICES,US GDP VA PRIV. INDS - HEALTH CARE & SOCIAL ASSISTANCE,"US GDP VA PRIV.INDS- ARTS, ENTRTMNT, REC, ACCOM, & FOOD SVS",US GDP VA - GOVERNMENT,US NET INTERNATIONAL INVESTMENT POSITION OF US AT CURRENT COST,US NET INTERNATIONAL INVESTMENT POSITION OF US AT MARKETVALUE
Code,USGDP...,USGDPV..,USGDPPA.,USGDPPM.,USGDPPU.,USGDPPC.,USGDPPF.,USGDPPW.,USGDPPR.,USGDPPT.,USGDPPB.,USGDPPN.,USGDPPS.,USGDPPEE,USGDPPEH,USGDPPD.,USGDPG..,USEXDEBTA,USNTIINM
1950,293.8,262.2,19.9,7.6,1/4/1900,12.9,79.4,18.6,25.8,17.3,8,33.5,11.5,1.1,4.9,8.7,31.6,#NA,#NA
1951,339.3,300.4,23,8.4,1/5/1900,15.4,94.6,21.3,28.2,19.6,8.9,37.4,13.3,1.1,5.5,9.5,38.9,#NA,#NA
1952,358.3,313.8,22.1,8.2,1/5/1900,16.6,98.3,21.5,29.7,20.3,9.6,41,14.3,1.2,6,10,44.5,#NA,#NA
1953,379.4,332.8,20.1,8.6,6.5,17.2,107.4,22,30.6,21.1,10.5,45.2,15.5,1.2,6.6,10.4,46.6,#NA,#NA
1954,380.4,332.1,19.6,8.7,7.2,17.4,101.6,22.3,31.2,19.6,10.7,48.9,16,1.3,6.8,10.7,48.3,#NA,#NA
1955,414.8,363.8,18.8,9.9,7.8,18.6,115,25.1,33.2,21.4,11.6,52.9,17.7,1.5,8.1,11.3,50.9,#NA,#NA
1956,437.5,383.1,18.6,10.7,8.3,20.5,119.3,27,34.4,22.4,12.4,56.4,19.2,1.6,8.5,11.8,54.3,#NA,#NA
1957,461.1,403,18.4,10.8,9,21.5,124.2,28.5,36.4,23.3,13.2,60.5,20.8,1.8,9.4,12.5,58.1,#NA,#NA
1958,467.2,405.4,20.6,9.9,9.6,21.2,117.4,29.2,37.1,22.1,13.8,64.8,21.2,1.9,10.3,12.8,61.8,#NA,#NA
1959,506.6,441.4,19,9.7,10.6,23,132,33.5,40.4,23.2,15.2,69.4,23.7,2.1,11.5,14,65.2,#NA,#NA
