Name,EM GDP CONA,EM COMPOSITE LEADING INDICATOR (TREND RESTORED),EM EURO SHORT TERM REPO RATE (MONTHLY AVERAGE),EM EURO INTERBANK OFFERED RATE - 3-MONTH,EM EMPLOYMENT VOLA,EM STANDARDIZED UNEMPLOYMENT RATE SADJ,"EM CPI (DS CALCULATED BEFORE 1990, HARMONISED) NADJ",EM INDUSTRIAL PPI - EXCLUDING CONSTRUCTION NADJ
Code,EMGDP...D,EMCYLEAD,EMPRATE.,EMIBOR3.,EMEMPTOTO,EMUN%TOTQ,EMCONPRCF,EMPROPRCF
Q1 1980,#NA,69.49,#NA,#NA,114.791,#NA,40.63,#NA
Q2 1980,#NA,68.263,#NA,#NA,114.858,#NA,41.62,#NA
Q3 1980,#NA,67.629,#NA,#NA,114.863,#NA,42.46,#NA
Q4 1980,#NA,67.532,#NA,#NA,114.881,#NA,43.34,#NA
Q1 1981,#NA,67.695,#NA,#NA,114.902,#NA,44.6,61.7
Q2 1981,#NA,67.433,#NA,#NA,114.571,#NA,45.73,63.6
Q3 1981,#NA,67.859,#NA,#NA,114.285,#NA,46.84,65.3
Q4 1981,#NA,68.523,#NA,#NA,114.11,#NA,47.99,66.4
Q1 1982,#NA,68.864,#NA,#NA,114.096,#NA,49.1,68.2
Q2 1982,#NA,68.427,#NA,#NA,114.191,#NA,50.19,69.2
Q3 1982,#NA,67.367,#NA,#NA,114.11,#NA,51.08,70.2
Q4 1982,#NA,67.709,#NA,#NA,113.852,#NA,51.99,70.9
Q1 1983,#NA,68.989,#NA,#NA,113.425,#NA,52.97,71.9
Q2 1983,#NA,69.622,#NA,#NA,113.533,#NA,53.84,72.4
Q3 1983,#NA,70.348,#NA,#NA,113.678,#NA,54.74,73.4
Q4 1983,#NA,71.139,#NA,#NA,113.678,#NA,55.64,74.5
Q1 1984,#NA,71.536,#NA,#NA,113.622,#NA,56.61,76.2
Q2 1984,#NA,71.492,#NA,#NA,113.467,#NA,57.36,77.1
Q3 1984,#NA,72.213,#NA,#NA,113.627,#NA,57.93,77.7
Q4 1984,#NA,72.356,#NA,#NA,113.722,#NA,58.65,78.6
Q1 1985,#NA,72.383,#NA,#NA,113.78,#NA,59.62,80
Q2 1985,#NA,72.774,#NA,#NA,114.025,#NA,60.42,80.7
Q3 1985,#NA,73.416,#NA,#NA,114.278,#NA,60.72,80.7
Q4 1985,#NA,73.988,#NA,#NA,114.572,#NA,61.2,80.7
Q1 1986,#NA,74.474,#NA,#NA,114.98,#NA,61.67,80.1
Q2 1986,#NA,75.424,#NA,#NA,115.321,#NA,61.92,79
Q3 1986,#NA,76.201,#NA,#NA,115.79,#NA,62.06,78.1
Q4 1986,#NA,76.485,#NA,#NA,116.319,#NA,62.32,77.3
Q1 1987,#NA,76.803,#NA,#NA,116.54,#NA,62.87,77.2
Q2 1987,#NA,77.876,#NA,#NA,116.938,#NA,63.3,77.4
Q3 1987,#NA,78.683,#NA,#NA,117.429,#NA,63.63,77.8
Q4 1987,#NA,79.026,#NA,#NA,117.838,#NA,63.97,78.1
Q1 1988,#NA,79.788,#NA,#NA,118.227,#NA,64.42,78.3
Q2 1988,#NA,81.13,#NA,#NA,118.685,#NA,64.9,78.9
Q3 1988,#NA,82.353,#NA,#NA,119.214,#NA,65.41,79.6
Q4 1988,#NA,83.492,#NA,#NA,119.628,#NA,65.93,80.2
Q1 1989,#NA,83.537,#NA,#NA,120.26,#NA,66.77,81.5
Q2 1989,#NA,83.639,#NA,#NA,120.708,#NA,67.56,82.3
Q3 1989,#NA,84.096,#NA,#NA,121.26,#NA,68.06,82.8
Q4 1989,#NA,84.357,#NA,#NA,121.906,#NA,68.69,83.4
Q1 1990,#NA,84.582,#NA,#NA,122.824,#NA,69.68,83.8
Q2 1990,#NA,84.871,#NA,#NA,123.427,#NA,70.28,84.1
Q3 1990,#NA,84.323,#NA,#NA,124.087,7.6,70.84,84.6
Q4 1990,#NA,83.072,#NA,#NA,124.594,7.8,71.74,85.5
Q1 1991,#NA,82.695,#NA,#NA,125.202,7.8,72.45,86
Q2 1991,#NA,83.205,#NA,#NA,124.975,7.8,73.15,86.3
Q3 1991,#NA,83.436,#NA,#NA,124.424,7.8,74.03,86.8
Q4 1991,#NA,83.356,#NA,#NA,124.415,8,74.59,87
Q1 1992,#NA,83.095,#NA,#NA,124.234,8.1,75.35,87.4
Q2 1992,#NA,82.201,#NA,#NA,124.14,8.3,76.11,87.9
Q3 1992,#NA,79.99,#NA,#NA,123.425,8.6,76.48,87.9
Q4 1992,#NA,78.073,#NA,#NA,122.708,9,76.93,88
Q1 1993,#NA,77.682,#NA,#NA,122.311,9.3,77.86,88.5
Q2 1993,#NA,78.419,#NA,#NA,121.699,9.8,78.51,89
Q3 1993,#NA,79.587,#NA,#NA,121.379,10.2,79.02,89.2
Q4 1993,#NA,81.129,#NA,#NA,121.163,10.5,79.41,89.3
