Name,US GDP (AR) CONA,US PERSONAL CONSMPTN. EXPENDITURES (QUARTERLY SERIES) (AR) CONA,US PERSONAL CONSUMPTION EXPENDITURES - DURABLES (AR) CONA,US PERSONAL CONSUMPTION EXPENDITURES - NONDURABLES(AR) CONA,US PERSONAL CONSUMPTION EXPENDITURES - SERVICES (AR) CONA,US PRIVATE DOMESTIC FIXED INVESTMENT (AR) CONA,US CHANGE IN PRIVATE INVENTORIES (NIA) (AR) CONA,US EXPORTS OF GOODS & SERVICES (NIA) (AR) CONA,US IMPORTS OF GOODS & SERVICES (NIA) (AR) CONA,US GOVERNMENT CONSUMPTION & INVESTMENT (AR) CONA,US GDP - (AR) CURA,US PERSONAL CONSMPTN. EXPENDITURES (QUARTERLY SERIES) (AR) CURA,US PERSONAL CONSUMPTION EXPENDITURES - DURABLES (AR) CURA,US PERSONAL CONSUMPTION EXPENDITURES - NONDURABLES(AR) CURA,US PERSONAL CONSUMPTION EXPENDITURES - SERVICES (AR) CURA,US PRIVATE DOMESTIC FIXED INVESTMENT (AR) CURA,US CHANGE IN PRIVATE INVENTORIES (NIA) (AR) CURA,US EXPORTS OF GOODS & SERVICES (NIA) (AR) CURA,US IMPORTS OF GOODS & SERVICES (NIA) (AR) CURA,US GOVERNMENT CONSUMPTION & INVESTMENT (AR) CURA,US IMPLICIT DEFLATOR - GDP SADJ,US IPD - PERSONAL CONSUMPTION EXPENDITURES SADJ,US CPI - ALL URBAN: ALL ITEMS SADJ,US CPI - ALL ITEMS LESS FOOD & ENERGY (CORE) SADJ,US PPI - FINISHED GOODS SADJ,US INDUSTRIAL PRODUCTION - TOTAL INDEX VOLA,"US CIVILIAN LABOR FORCE, (16 YRS & OVER) VOLA",US TOTAL CIVILIAN EMPLOYMENT VOLA,US CIVILIAN NONINSTITUTIONAL POPULATION - 16 YRS & OVER VOLN,US UNEMPLOYMENT RATE SADJ,US EMPLOYED - NONFARM INDUSTRIES TOTAL (PAYROLL SURVEY) VOLA,US AVG WKLY HOURS - TOTAL PRIVATE NONFARM VOLA,US FEDERAL FUNDS RATE (AVG.),US TREASURY BILL SECONDARY MARKET RATE ON DISCOUNT BASIS-3 MONTH,US TREASURY BILL SECONDARY MARKET RATE ON DISCOUNT BASIS-6 MONTH,US TREASURY YIELD ADJUSTED TO CONSTANT MATURITY - 1 YEAR,US TREASURY YIELD ADJUSTED TO CONSTANT MATURITY - 5 YEAR,US TREASURY YIELD ADJUSTED TO CONSTANT MATURITY - 10YEAR,US STANDARD & POOR'S INDEX OF 500 COMMON STOCKS(MONTHLY AVE NADJ,US DOW JONES INDUSTRIALS SHARE PRICE INDEX (EP) NADJ,US NEW YORK STOCK EXCHANGE COMPOSITE SHARE PRICE INDEX,US THE CONFERENCE BOARD LEADING ECONOMIC INDICATORS INDEX SADJ,US NET PRIVATE SAVING CURA,US NET GOVERNMENT SAVING CURA,US NONRESIDENTIAL PRIVATE FIXED INVESTMENT- STRUCTURES (AR) CONA,US NONRESL.PRIVATE FIXED INVESTMENT-EQUIPMENT & SOFTWARE(AR),US RESIDENTIAL PRIVATE DOMESTIC INVESTMENT (AR) CONA,US NONRESIDENTIAL PRIVATE FIXED INVESTMENT- STRUCTURES (AR) CURA,US NONRESIDENTIAL PRIV FIXED INVEST-EQUIPMENT & SOFTWARE(AR),US RESIDENTIAL PRIVATE DOMESTIC INVESTMENT (AR) CURA,US NET WORTH - HOUSEHOLDS & NONPROFITS (FOF) CURN,US TOTAL ASSETS - HHOLDS & NONPROFITS CURN,US FINANCIAL LIABILITIES - HOUSEHOLDS & NONPROFITS(FOF) CURN,"US GDP IN REAL TERMS,POTENTIAL OUTPUT (AR) CONA",US RATIO OF POTENTIAL AND ACTUAL REAL GDP (AR) SADJ
Code,USGDP...D,USCNPER.D,USCNDURBD,USCNNONDD,USCNSERVD,USGFCF..D,USINVCH.D,USEXNGS.D,USIMNGS.D,USCNGOV.D,USGDP...B,USCNPER.B,USCNDURBB,USCNNONDB,USCNSERVB,USGFCF..B,USINVCH.B,USEXNGS.B,USIMNGS.B,USCNGOV.B,USGDPIPDE,USIPDCONE,USCONPRCE,USCPXFDEE,USPROPRCE,USIPTOT.G,USLABFRCE,USEMPTOTO,USCIVILPF,USUN%TOTQ,USEMPALLO,USHKIP..O,USFEDFUN,USTRB3AV,USYTB6SM,USTRCN1.,USTRCN5.,USTRCN10,US500STK,USSHRPRCF,USNYSCOM,USCYLEAD,USSVNP..B,USFSLBALB,USNRSSTRD,USINVPDED,USGPDRESD,USNRSSTRB,USINVPDEB,USGPDRESB,US15XXWAA,US15XFTAA,US15XXXLA,USOCFPGDD,USOCFRGDQ
Q1 1950,1696.8,1118.9,70.8,498.4,530.1,197.3,6.6,48.3,50.9,397.9,275.2,183.1,27.7,94.8,60.6,42.3,2,11.7,9.5,45.6,16.222,16.364,23.587,#NA,27.2,15.873,61651,57705,104733,6.4,43593,#NA,#NA,1.1,#NA,#NA,#NA,#NA,17.147,206.05,#NA,#NA,27.6,-7.4,76.9,41.5,132.6,9.1,15.1,18.1,#NA,#NA,#NA,#NA,#NA
Q2 1950,1747.3,1136.8,71.2,503.7,545.5,215.6,9.5,48.9,53.7,404.3,284.6,187,28.1,96.3,62.5,47,2.8,11.9,10.2,46.1,16.286,16.449,23.767,#NA,27.5,17.205,62220,58761,105020,5.6,44726,#NA,#NA,1.15,#NA,#NA,#NA,#NA,18.34,209.11,#NA,#NA,24.3,3.5,80.8,46.2,145.4,9.5,17.1,20.4,#NA,#NA,#NA,#NA,#NA
Q3 1950,1815.8,1195.3,89.1,512.7,553.2,231.7,12.7,50.1,66.3,396.7,302,200.7,35.6,100.9,64.2,52,4.2,12.3,13,45.9,16.63,16.79,24.203,#NA,28.5,18.588,62355,59458,105248,4.6,46027,#NA,#NA,1.22,#NA,#NA,#NA,#NA,18.297,226.36,#NA,#NA,18.2,15.3,85.5,51.1,153.4,10.3,19.3,22.3,#NA,#NA,#NA,#NA,#NA
Q4 1950,1848.9,1160.1,77.8,501.9,559.6,226.9,40.7,54.1,66.4,422.3,313.4,198.1,31.5,100.9,65.7,51.9,14,13.5,13.7,49.5,16.95,17.079,24.693,#NA,29.5,18.909,62261,59643,104982,4.2,46782,#NA,#NA,1.34,#NA,#NA,#NA,#NA,19.817,235.41,#NA,#NA,27.4,15.9,87.6,50.3,146.2,11,19.6,21.3,#NA,#NA,#NA,#NA,#NA
Q1 1951,1871.3,1187.4,80.2,514.6,569.1,218.4,25.2,56.9,66.4,467.2,329,209.4,33.8,107.8,67.8,51.7,10.4,15,14.9,57.4,17.582,17.635,25.697,#NA,30.7,19.29,62082,59899,104692,3.5,47579,#NA,#NA,1.37,#NA,#NA,#NA,#NA,21.613,247.94,#NA,#NA,18.8,19.9,87.9,48.2,138.4,11.5,19.4,20.8,#NA,#NA,#NA,#NA,#NA
Q2 1951,1903.1,1154.5,68.2,508.8,573,208.4,36.7,62.5,64.2,531.4,336.7,205.1,28.9,107.4,68.8,50.1,14.8,17.1,15.2,64.7,17.69,17.769,25.947,#NA,31,19.35,61822,59899,104507,3.1,47958,#NA,#NA,1.49,#NA,#NA,#NA,#NA,21.8,242.64,#NA,#NA,32,12.5,90.9,48.3,119.8,12.2,19.7,18.2,#NA,#NA,#NA,#NA,#NA
Q3 1951,1941.1,1167.9,66.8,520.2,578.2,205,24.1,64,58.8,591.5,343.6,207.8,28.3,109.4,70,49.6,9.7,18.1,14.3,72.6,17.7,17.793,25.933,#NA,30.7,18.889,61938,59954,104543,3.2,48008,#NA,#NA,1.6,#NA,#NA,#NA,#NA,22.767,271.16,#NA,#NA,34.2,7.7,90.4,49.3,112.1,12.3,20.2,17.2,#NA,#NA,#NA,#NA,#NA
Q4 1951,1944.4,1174.9,66.2,526,580.3,202.9,10.3,63.4,57.2,623.9,348,211.8,28.4,112,71.3,49.6,4.7,18.2,14,77.6,17.896,18.025,26.317,#NA,30.9,19.019,62225,60114,104747,3.4,48155,#NA,#NA,1.61,#NA,#NA,#NA,#NA,23.16,269.23,#NA,#NA,33.4,8.7,86.9,48.8,113.2,11.9,20.2,17.5,#NA,#NA,#NA,#NA,#NA
Q1 1952,1964.7,1178.1,66.9,522.6,588.2,205.3,13,66.8,63.9,643.7,351.3,213.1,28.9,111.4,72.8,50.5,4.7,18.7,15,79.2,17.879,18.092,26.417,#NA,30.8,19.46,62191,60277,104863,3.1,48442,#NA,#NA,1.57,#NA,#NA,#NA,#NA,23.917,269.46,#NA,#NA,32.4,9.8,87,49.1,116.1,12,20.4,18,1153.41,1239.39,85.97,#NA,#NA
Q2 1952,1966,1200.7,68.1,534.9,595.8,208.1,-3.2,59.4,63.6,665.3,352.2,217.3,29.1,113.7,74.4,51.4,-1.5,16.6,14.6,83.1,17.913,18.096,26.487,#NA,30.7,19.179,61960,60108,105007,3,48516,#NA,#NA,1.65,#NA,#NA,#NA,#NA,23.95,274.26,#NA,#NA,29.6,5.8,87.6,49.8,118.3,12.1,20.8,18.5,1173.9,1264.05,90.15,#NA,#NA
Q3 1952,1978.8,1206,63.6,543.5,604,195.4,14.5,54.7,67.4,672,358.5,219.8,27.6,115.9,76.3,48.3,5.6,15.2,15.3,84.9,18.119,18.223,26.667,#NA,30.7,19.74,62099,60094,105343,3.2,48795,#NA,#NA,1.78,#NA,#NA,#NA,#NA,25.013,270.61,#NA,#NA,32.8,4.4,88.4,42.4,117.1,12.2,17.7,18.5,1184.86,1278.02,93.16,#NA,#NA
Q4 1952,2043.8,1248.3,75.2,550.8,613.6,210.2,14.4,55.2,73.4,684.1,371.4,227.9,31.7,117.9,78.3,51.9,5.3,15.3,16.3,87.4,18.172,18.258,26.697,#NA,30.4,21.153,62361,60611,105703,2.8,49859,#NA,#NA,1.89,#NA,#NA,#NA,#NA,25.11,291.9,#NA,#NA,32.2,7,91.7,47.8,123.4,12.6,19.9,19.4,1185.75,1283.38,97.64,#NA,#NA
Q1 1953,2082.3,1263.4,78.1,555,618.8,218.7,11.7,54.2,71.7,707.1,378.4,231.5,33.3,118.1,80.1,54,3.9,15.1,15.8,89.7,18.172,18.325,26.62,#NA,30.3,21.574,63539,61831,106672,2.7,50319,#NA,#NA,1.98,#NA,#NA,#NA,#NA,26.01,279.87,#NA,#NA,32.9,7.2,94.5,51.1,125.3,13.1,21.2,19.7,1193.47,1293.42,99.94,#NA,#NA
Q2 1953,2098.1,1271.2,77.6,557.5,627.2,219.9,11.4,54.5,75.4,722.6,382,233.3,33.1,118.1,82.1,54.6,3.6,15.2,16.4,91.8,18.206,18.351,26.72,#NA,30.3,21.875,62948,61306,106905,2.6,50482,#NA,#NA,2.15,#NA,2.43,2.81,3,24.5,268.26,#NA,#NA,33.2,6.7,96.3,51.1,125.6,13.5,21.3,19.8,1191.99,1296.42,104.43,#NA,#NA
