Name,US GDP (AR) CONA,US PERSONAL CONSUMPTION EXPENDITURES (AR) CONA,US PERSONAL CONSUMPTION EXPENDITURES - DURABLES (AR) CONA,US PERSONAL CONSUMPTION EXPENDITURES - NONDURABLES(AR) CONA,US PERSONAL CONSUMPTION EXPENDITURES - SERVICES (AR) CONA,US PRIVATE DOMESTIC FIXED INVESTMENT (AR) CONA,US CHANGE IN PRIVATE INVENTORIES (NIA) (AR) CONA,US EXPORTS OF GOODS & SERVICES (NIA) (AR) CONA,US IMPORTS OF GOODS & SERVICES (NIA) (AR) CONA,US GOVERNMENT CONSUMPTION & INVESTMENT (AR) CONA,US GDP (AR) CURA,US PERSONAL CONSUMPTION EXPENDITURES (AR) CURA,US PERSONAL CONSUMPTION EXPENDITURES - DURABLES (AR) CURA,US PERSONAL CONSUMPTION EXPENDITURES - NONDURABLES(AR) CURA,US PERSONAL CONSUMPTION EXPENDITURES - SERVICES (AR) CURA,US PRIVATE DOMESTIC FIXED INVESTMENT (AR) CURA,US CHANGE IN PRIVATE INVENTORIES (AR) CURA,US EXPORTS OF GOODS & SERVICES (NIA) (AR) CURA,US IMPORTS OF GOODS & SERVICES (NIA) (AR) CURA,US GOVERNMENT CONSUMPTION & INVESTMENT (AR) CURA,US IMPLICIT PRICE DEFLATOR - GDP SADJ,US IPD - PERSONAL CONSUMPTION EXPENDITURES SADJ,US CPI - ALL URBAN: ALL ITEMS SADJ,US CPI - ALL ITEMS LESS FOOD & ENERGY (CORE) SADJ,US PPI - FINISHED GOODS SADJ,US INDUSTRIAL PRODUCTION - TOTAL INDEX VOLA,"US CIVILIAN LABOR FORCE, (16 YRS & OVER) VOLA",US TOTAL CIVILIAN EMPLOYMENT VOLA,US CIVILIAN NONINSTITUTIONAL POPULATION - 16 YRS & OVER VOLN,US UNEMPLOYMENT RATE SADJ,US EMPLOYED - NONFARM INDUSTRIES TOTAL (PAYROLL SURVEY) VOLA,US AVG WKLY HOURS - TOTAL PRIVATE NONFARM VOLA,US FEDERAL FUNDS RATE (AVG.),US TREASURY BILL SECONDARY MARKET RATE ON DISCOUNT BASIS-3 MONTH,US TREASURY BILL SECONDARY MARKET RATE ON DISCOUNT BASIS-6 MONTH,US TREASURY YIELD ADJUSTED TO CONSTANT MATURITY - 1 YEAR,US TREASURY YIELD ADJUSTED TO CONSTANT MATURITY - 5 YEAR,US TREASURY YIELD ADJUSTED TO CONSTANT MATURITY - 10YEAR,US STANDARD & POOR'S INDEX OF 500 COMMON STOCKS(MONTHLY AVE NADJ,US DOW JONES INDUSTRIALS SHARE PRICE INDEX (EP) NADJ,US NEW YORK STOCK EXCHANGE COMPOSITE SHARE PRICE INDEX,US THE CONFERENCE BOARD LEADING ECONOMIC INDICATORS INDEX SADJ,US NET PRIVATE SAVING CURA,US NET GOVERNMENT SAVING CURA,US NONRESL. PRIVATE FIXED INVESTMENT - STRUCTURES (AR) CONA,US NONRESL.PRIVATE FIXED INVESTMENT-EQUIPMENT & SOFTWARE(AR),US RESIDENTIAL PRIVATE DOMESTIC INVESTMENT (AR) CONA,US NONRESL. PRIVATE FIXED INVESTMENT - STRUCTURES (AR) CURA,US NONRESL.PRIVATE FIXED INVESTMENT-EQUIPMENT & SOFTWARE(AR),US RESIDENTIAL PRIVATE DOMESTIC INVESTMENT (AR) CURA,US NET WORTH - HOUSEHOLDS & NONPROFITS (FOF) CURN,US TOTAL ASSETS - HHOLDS & NONPROFITS CURN,US REAL ESTATE ASSETS - HOUSEHOLDS & NONPROFITS (FOF) CURN,US FINANCIAL LIABILITIES - HOUSEHOLDS & NONPROFITS(FOF) CURN,"US GDP IN REAL TERMS,POTENTIAL OUTPUT (AR) CONA",US RATIO OF POTENTIAL AND ACTUAL REAL GDP (AR) SADJ,US MONETARY BASE CURA,US MONEY SUPPLY M1 CURA,US MONEY SUPPLY M2 CURA
Code,USGDP...D,USCNPER.D,USCNDURBD,USCNNONDD,USCNSERVD,USGFCF..D,USINVCH.D,USEXNGS.D,USIMNGS.D,USCNGOV.D,USGDP...B,USCNPER.B,USCNDURBB,USCNNONDB,USCNSERVB,USGFCF..B,USINVCH.B,USEXNGS.B,USIMNGS.B,USCNGOV.B,USGDPIPDE,USIPDCONE,USCONPRCE,USCPXFDEE,USPROPRCE,USIPTOT.G,USLABFRCE,USEMPTOTO,USCIVILPF,USUN%TOTQ,USEMPALLO,USHKIP..O,USFEDFUN,USTRB3AV,USYTB6SM,USTRCN1.,USTRCN5.,USTRCN10,US500STK,USSHRPRCF,USNYSCOM,USCYLEAD,USSVNP..B,USFSLBALB,USNRSSTRD,USINVPDED,USGPDRESD,USNRSSTRB,USINVPDEB,USGPDRESB,US15XXWAA,US15XFTAA,US15RETAA,US15XXXLA,USOCFPGDD,USOCFRGDQ,USM0....B,USM1....B,USM2....B
Q1 1950,1914.6,1245.4,,,,,7.4,52.5,56.4,483.5,275.2,183.1,29.3,81.5,72.3,42.3,2,11.7,9.5,45.5,14.373,14.701,23.587,,,15.8704,61651,57705,104733,6.4,43593,,,1.1,,,,,17.147,206.05,,,27.6,-7.3,,,,9.1,15.1,18.1,,,,,,,,,
Q2 1950,1972.9,1265.9,,,,,10.8,53.1,59.5,491.4,284.5,187,29.8,82.8,74.4,47,2.8,11.9,10.2,46,14.421,14.771,23.767,,27.5,17.203,62220,58761,105020,5.6,44726,,,1.15,,,,,18.34,209.11,,,23.8,3.5,,,,9.5,17.1,20.4,,,,,,,,,
Q3 1950,2050.1,1330.9,,,,,14.1,54.5,73.5,482,301.9,200.7,37.4,86.6,76.7,52,4.2,12.3,13,45.8,14.727,15.079,24.203,,28.5,18.5856,62355,59458,105248,4.6,46027,,,1.22,,,,,18.297,226.36,,,17.7,15.3,,,,10.3,19.3,22.3,,,,,,,,,
Q4 1950,2086.2,1290.8,,,,,44.9,58.9,73.6,512.7,313.3,198.1,33.3,86.7,78.2,51.9,14,13.5,13.7,49.5,15.019,15.349,24.693,,29.5,18.9063,62261,59643,104982,4.2,46782,,,1.34,,,,,19.817,235.41,,,26.9,16,,,,11,19.6,21.3,,,,,,,,,
Q1 1951,2112.5,1322,,,,,27.9,61.8,73.6,567.5,329,209.4,35.6,92,81.8,51.7,10.4,15,14.9,57.3,15.572,15.839,25.697,,30.7,19.287,62082,59899,104692,3.5,47579,,,1.37,,,,,21.613,247.94,,,18.4,19.9,,,,11.5,19.4,20.8,,,,,,,,,
Q2 1951,2147.6,1284.7,,,,,40.6,67.9,71.2,645.6,336.6,205.1,30.7,91.4,83,50.1,14.8,17.1,15.2,64.7,15.675,15.967,25.947,,31,19.3471,61822,59899,104507,3.1,47958,,,1.49,,,,,21.8,242.64,,,31.5,12.6,,,,12.2,19.7,18.2,,,,,,,,,
Q3 1951,2190.4,1299.7,,,,,26.9,69.6,65.2,718.8,343.5,207.8,30.2,93.2,84.4,49.6,9.7,18.1,14.3,72.6,15.683,15.989,25.933,,30.7,18.8862,61938,59954,104543,3.2,48008,,,1.6,,,,,22.767,271.16,,,33.5,7.8,,,,12.3,20.2,17.2,,,,,,,,,
Q4 1951,2194.1,1307.3,,,,,11.6,68.9,63.5,758.9,347.9,211.8,30.4,95.5,85.9,49.6,4.7,18.2,14,77.6,15.858,16.201,26.317,,30.9,19.0164,62225,60114,104747,3.4,48155,,,1.61,,,,,23.16,269.23,,,32.8,8.7,,,,11.9,20.2,17.5,,,,,,,,,
Q1 1952,2216.2,1310.2,,,,,14.5,72.6,70.8,782.4,351.2,213.1,30.8,94.8,87.6,50.5,4.7,18.7,15,79.1,15.848,16.269,26.417,,30.8,19.4573,62191,60277,104863,3.1,48442,,,1.57,,,,,23.917,269.46,,,31.9,9.8,,,,12,20.4,18,1163.78,1249.75,312.08,85.97,,,,,
