Name+A47,US STANDARDIZED UNEMPLOYMENT RATE SADJ,FR STANDARDIZED UNEMPLOYMENT RATE SADJ,BD STANDARDIZED UNEMPLOYMENT RATE SADJ,IT STANDARDIZED UNEMPLOYMENT RATE SADJ,JP STANDARDIZED UNEMPLOYMENT RATE SADJ,UK STANDARDIZED UNEMPLOYMENT RATE SADJ
Code,USOUN014Q,FROUN014Q,BDOUN014Q,ITOUN014Q,JPOUN014Q,UKOUN014Q
1960,6.56,#NA,#NA,#NA,1.47,#NA
1961,5.96,#NA,#NA,#NA,1.35,#NA
1962,5.51,#NA,#NA,#NA,1.29,#NA
1963,5.51,#NA,#NA,#NA,1.26,#NA
1964,4.97,#NA,#NA,#NA,1.14,#NA
1965,4.04,#NA,#NA,#NA,1.32,#NA
1966,3.8,#NA,#NA,#NA,1.24,#NA
1967,3.85,#NA,#NA,#NA,1.27,#NA
1968,3.38,#NA,#NA,#NA,1.08,#NA
1969,3.53,#NA,#NA,#NA,1.07,#NA
1970,6.07,#NA,#NA,#NA,1.18,#NA
1971,6.02,#NA,#NA,#NA,1.39,3.8
1972,5.17,#NA,#NA,#NA,1.38,3.3
1973,4.94,#NA,#NA,#NA,1.13,2.3
1974,7.15,#NA,#NA,#NA,1.72,2.8
1975,8.2,#NA,#NA,#NA,2.12,5
1976,7.75,#NA,#NA,#NA,1.81,5.6
1977,6.35,#NA,#NA,#NA,2.13,5.9
1978,6,5.4,#NA,#NA,2.19,5.4
1979,5.95,5.9,#NA,#NA,2.01,4.6
1980,7.19,6.2,#NA,5,2.2,7.3
1981,8.51,7.6,#NA,6,2.21,9.6
1982,10.85,8.1,#NA,6.9,2.49,10.6
1983,8.31,8.3,#NA,7.8,2.63,10.8
1984,7.29,9.5,#NA,7.9,2.59,11.1
1985,6.99,9.6,#NA,8.5,2.8,11.2
1986,6.65,9.9,#NA,9.2,2.9,11.2
1987,5.75,9.7,#NA,9.7,2.67,9.4
1988,5.32,9.1,#NA,9.8,2.37,7.7
1989,5.36,8.6,#NA,9.3,2.12,6.8
1990,6.26,8.4,#NA,8.7,2.02,7.4
1991,7.26,9.3,#NA,8.6,2.09,9.2
1992,7.43,10.2,6.9,8.9,2.34,10.3
1993,6.52,11.6,8.1,10.5,2.81,10
1994,5.48,11.2,8,11.2,2.86,8.7
1995,5.6,11.2,8.2,11.1,3.42,8.2
1996,5.37,11.6,9,11.2,3.37,7.4
1997,4.72,11.2,9.5,11.3,3.52,6.2
1998,4.35,10.9,8.7,11.4,4.41,6.1
1999,4.03,9.7,7.8,10.7,4.65,5.8
2000,3.93,8.5,7.4,9.6,4.77,5.1
2001,5.72,8.4,7.9,8.9,5.4,5.1
2002,5.96,9,8.9,8.5,5.45,5
2003,5.67,9.2,9.4,8.2,4.84,4.8
2004,5.36,9.2,10.4,8,4.42,4.7
2005,4.81,9.4,10.3,7.6,4.37,5.1
2006,4.38,8.9,9.1,6.5,4.08,5.4
2007,4.9,7.7,7.9,6.4,3.8,5.1
2008,7.19,8.1,7.2,#NA,4.45,#NA
2009,#NA,#NA,#NA,#NA,#NA,#NA
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,







































































































































































































































































































































































































































































































































































































































































