Name,CH NET EXPORTS CURN,CH GOVERNMENT CONSUMPTION CURN,CH GFCF CURN,CH INCREASE/DECREASE (-) IN STOCKS CURN,CH PRIVATE CONSUMPTION CURN,CH GDP CURN,IN EXPORTS OF GOODS & SERVICES CURN,IN GOVERNMENT CONSUMPTION CURN,IN GFCF CURN,IN INCREASE/DECREASE (-) IN STOCKS CURN,IN PRIVATE CONSUMPTION CURN,IN IMPORTS OF GOODS & SERVICES CURN,IN GDP CURN,US EXPORTS OF GOODS & SERVICES CURA,US GOVERNMENT CONSUMPTION CURA,US GROSS FIXED CAPITAL FORMATION CURA,US INCREASE/DECREASE(-) IN STOCKS CURA,US PRIVATE GFCF CURA,US PRIVATE CONSUMPTION CURA,US IMPORTS OF GOODS & SERVICES CURA,US GDP CURA,BR EXPORTS OF GOODS & SERVICES CURN,BR GOVERNMENT CONSUMPTION CURN,BR GFCF CURN,BR INCREASE/DECREASE (-) IN STOCKS CURN,BR PRIVATE CONSUMPTION CURN,BR IMPORTS OF GOODS & SERVICES CURN,BR GDP CURN
Code,CHI90N..A,CHI91F..A,CHI93E..A,CHI93I..A,CHI96F..A,CHY99B..A,INY90C..A,INY91F..A,INY93E..A,INY93I..A,INY96F..A,INY98C..A,INY99B..A,USY90C.CB,USY91F.CB,USY93E.CB,USY93I.CB,USY93EECB,USY96F.CB,USY98C.CB,USY99B.CB,BRY90C..A,BRY91F..A,BRY93E..A,BRY93I..A,BRY96F..A,BRY98C..A,BRY99B..A
1950,#NA,#NA,#NA,#NA,#NA,#NA,7.3,5.3,9.7,1.6,#NA,7.1,93.7,12.4,37,58.1,5.8,48.3,192.2,11.6,293.8,#NA,#NA,#NA,#NA,#NA,#NA,0
1951,#NA,#NA,#NA,#NA,#NA,#NA,8.5,5.5,9.6,2,#NA,10.4,99.7,17.1,50.5,67.9,9.9,50.3,208.5,14.6,339.3,#NA,#NA,#NA,#NA,#NA,#NA,0
1952,#NA,#NA,#NA,#NA,#NA,#NA,7.1,5.7,8.9,-0.3,#NA,7,97.7,16.5,61.3,72.8,3.5,50.5,219.5,15.3,358.3,#NA,#NA,#NA,#NA,#NA,#NA,0
1953,#NA,#NA,#NA,#NA,#NA,#NA,6.4,6,8.9,-0.3,#NA,6.5,106.4,15.3,66.6,78.5,1.9,54.5,233.1,16,379.4,#NA,#NA,#NA,#NA,#NA,#NA,0
1954,#NA,#NA,#NA,#NA,#NA,#NA,7,6.3,10.2,0.7,#NA,7.4,100.7,15.8,63.7,78.3,-1.9,55.8,240,15.4,380.4,#NA,#NA,#NA,#NA,#NA,#NA,0
1955,#NA,#NA,#NA,#NA,#NA,#NA,7.6,6.8,12.8,1.3,#NA,8.3,102.6,17.7,65.5,85,5,64,258.8,17.2,414.8,#NA,#NA,#NA,#NA,#NA,#NA,0
1956,#NA,#NA,#NA,#NA,#NA,#NA,7.6,7.4,16.2,2.7,#NA,11.7,122.2,21.3,68.5,91,3.9,68.1,271.7,18.9,437.5,#NA,#NA,#NA,#NA,#NA,#NA,0
1957,#NA,#NA,#NA,#NA,#NA,#NA,8,8.7,16.9,2.5,#NA,13,126,24,75.3,94.1,0.8,69.7,286.9,19.9,461.1,#NA,#NA,#NA,#NA,#NA,#NA,0
1958,#NA,#NA,#NA,#NA,#NA,#NA,7.2,9.3,17.1,0.3,#NA,11,170.3,20.6,79.5,91.3,-0.4,64.9,296.2,20,467.2,#NA,#NA,#NA,#NA,#NA,#NA,0
