Economy,Year,Ease of Doing Business Rank,Starting a Business - Rank,Starting a Business - Procedures (number),Starting a Business - Time (days),Starting a Business - Cost (% of income per capita),Starting a Business - Paid-in Min. Capital (% of income per capita),Dealing with Construction Permits - Rank,Dealing with Construction Permits - Procedures (number),Dealing with Construction Permits - Time (days),Dealing with Construction Permits - Cost (% of income per capita),Getting Electricity - Rank,Getting Electricity - Procedures (number),Getting Electricity - Time (days),Getting Electricity - Cost (% of income per capita),Registering Property - Rank,Registering Property - Procedures (number),Registering Property - Time (days),Registering Property - Cost (% of property value),Getting Credit - Rank,Getting Credit - Strength of legal rights index (0-10),Getting Credit - Depth of credit information index (0-6),Getting Credit - Public registry coverage (% of adults),Getting Credit - Private bureau coverage (% of adults),Protecting Investors - Rank,Protecting Investors - Extent of disclosure index (0-10),Protecting Investors - Extent of director liability index (0-10),Protecting Investors - Ease of shareholder suits index (0-10),Protecting Investors - Strength of investor protection index (0-10),Paying Taxes - Rank,Paying Taxes - Payments (number per year),Paying Taxes - Time (hours per year),Paying Taxes - Profit tax (%),Paying Taxes - Labor tax and contributions (%),Paying Taxes - Other taxes (%),Paying Taxes - Total tax rate (% profit),Trading Across Borders - Rank,Trading Across Borders - Documents to export (number),Trading Across Borders - Time to export (days),Trading Across Borders - Cost to export (US$ per container),Trading Across Borders - Documents to import (number),Trading Across Borders - Time to import (days),Trading Across Borders - Cost to import (US$ per container),Enforcing Contracts - Rank,Enforcing Contracts - Time (days),Enforcing Contracts - Cost (% of claim),Enforcing Contracts - Procedures (number),Resolving Insolvency - Rank,Resolving Insolvency - Time (years),Resolving Insolvency - Cost (% of estate),Resolving Insolvency - Recovery rate (cents on the dollar)
Afghanistan,DB2004,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,..
Afghanistan,DB2005,..,..,28,90,52.8,0,..,..,..,..,..,..,..,..,..,11,252,7,..,1,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"1,642",25,47,..,no practice,no practice,0
Afghanistan,DB2006,..,..,4,9,75.2,0,..,12,334,"10,080.20",..,..,..,..,..,11,252,7,..,1,0,0,0,..,1,1,1,1,..,5,275,..,..,..,36.4,..,10,67,"2,180",10,80,"2,100",..,"1,642",25,47,..,no practice,no practice,0
Afghanistan,DB2007,..,..,4,9,67.4,0,..,12,334,"9,332.30",..,..,..,..,..,11,252,7,..,1,0,0,0,..,1,1,1,1,..,5,275,..,..,..,36.4,..,10,67,"2,180",10,71,"2,100",..,"1,642",25,47,..,no practice,no practice,0
Afghanistan,DB2008,..,..,4,9,84.6,0,..,12,334,"9,692.40",..,..,..,..,..,9,250,7,..,1,0,0,0,..,1,1,1,1,..,8,275,..,..,..,36.4,..,10,67,"2,180",10,71,"2,100",..,"1,642",25,47,..,2,25,25.1
Afghanistan,DB2009,..,..,4,9,59.5,0,..,12,334,"6,810.80",..,..,..,..,..,9,250,7,..,1,0,0,0,..,1,1,1,1,..,8,275,..,..,..,36.4,..,10,74,"2,680",10,77,"2,600",..,"1,642",25,47,..,2,25,24.3
Afghanistan,DB2010,..,..,4,7,30.2,0,..,12,334,"5,878.70",..,4,424,618.2,..,9,250,4,..,6,0,0,0,..,1,1,1,1,..,8,275,..,..,..,36.4,..,10,74,"3,030",10,77,"3,000",..,"1,642",25,47,..,2,25,24.3
Afghanistan,DB2011,154,24,4,7,26.7,0,160,12,334,"5,183.90",132,4,191,"3,711.10",170,9,250,5,130,6,0,0,0,183,1,1,1,1,58,8,275,..,..,..,36.4,179,10,74,"3,545",10,77,"3,830",161,"1,642",25,47,107,2,25,26
Afghanistan,DB2012,160,30,4,7,25.8,0,162,12,334,"4,876.40",104,4,109,"3,956.80",172,9,250,5,150,6,0,0,0,183,1,1,1,1,63,8,275,0,0,36.4,36.4,179,10,74,"3,545",10,77,"3,830",161,"1,642",25,47,105,2,25,26.5
Albania,DB2004,..,..,11,41,56.9,45.3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,390,38.7,39,..,2,10,37.6
Albania,DB2005,..,..,11,41,32.2,41.3,..,..,..,..,..,..,..,..,..,6,42,17.9,..,9,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,390,38.7,39,..,2,10,38.3
Albania,DB2006,..,..,11,41,31.1,39.9,..,23,332,520.2,..,..,..,..,..,6,42,17.4,..,9,0,0,0,..,0,5,3,2.7,..,45,364,..,..,..,58.2,..,7,21,818,8,22,820,..,390,38.7,39,..,2,10,40
Albania,DB2007,..,..,11,39,22.4,36.7,..,23,332,478.7,..,..,..,..,..,6,42,16.2,..,9,0,0,0,..,0,5,3,2.7,..,44,364,..,..,..,57.3,..,7,21,818,8,22,820,..,390,38.7,39,..,2,10,39.1
Albania,DB2008,..,..,10,36,46,34.3,..,23,331,447.2,..,..,..,..,..,6,42,15.2,..,9,0,0,0,..,0,5,3,2.7,..,44,364,..,..,..,46.8,..,7,21,745,8,22,750,..,390,38.7,39,..,2,10,36.8
Albania,DB2009,..,..,6,8,45.1,32.3,..,23,331,422.1,..,..,..,..,..,6,42,14.4,..,9,4,8.3,0,..,8,9,5,7.3,..,44,368,..,..,..,50.5,..,7,21,770,8,22,775,..,390,38.7,39,..,2,10,38.7
