Name,EM MONEY SUPPLY: M1 (EP) CURA,EM MONEY SUPPLY: M2 (EP) CURA,EM MONEY SUPPLY: M3 (EP) CURA,EM CPI - ALL ITEMS EXCL. ADMINISTRATIVE PRICES (HARMONISED) NADJ,EM CPI - ALL ITEMS (%YOY MUICP HARMONISED SA) SADJ,US MONETARY BASE CURA,US MONEY SUPPLY M1 CURA,US MONEY SUPPLY M2 CURA,US CPI - ALL URBAN: ALL ITEMS SADJ,US CHAIN-TYPE PRICE INDEX FOR PERSONAL CONSMPTN.EXPENDITURE SADJ,EA INDUSTRIAL PRODUCTION VOLA
Code,EMECBM1.B,EMECBM2.B,EMECBM3.B,EMEBCXAPF,EMEBCPGS%,USM0....B,USM1....B,USM2....B,USCONPRCE,USCP...CE,EAESINPRG
1/31/1990,966.8,2361.8,2622.2,#NA,#NA,269557,795.4,3172.4,127.5,78.732,83.64
2/28/1990,966.9,2370,2637.6,#NA,#NA,271136,798.1,3184.9,128,79.103,85.32
3/30/1990,965.7,2371.3,2644.8,#NA,#NA,273071,801.6,3195.9,128.6,79.452,84.43
4/30/1990,967.6,2379.6,2657.2,#NA,#NA,275230,806.2,3207.4,128.9,79.681,84.64
5/31/1990,972,2386.2,2669.8,#NA,#NA,276754,804.3,3206.1,129.1,79.898,84.87
6/29/1990,1008.4,2496,2787.7,#NA,#NA,278957,808.9,3218.8,129.9,80.263,84.24
7/31/1990,1014.7,2507.9,2805.2,#NA,#NA,280996,810.1,3229.3,130.5,80.457,84.53
8/31/1990,1020.7,2520.8,2822.8,#NA,#NA,284079,815.6,3246.8,131.6,80.961,85.02
9/28/1990,1028.2,2538.8,2845.9,#NA,#NA,287287,820.1,3259.6,132.5,81.431,85.46
10/31/1990,1028.6,2549,2865.1,#NA,#NA,289184,819.8,3264.3,133.4,81.872,85.95
11/30/1990,1031.5,2559,2883.1,#NA,#NA,291127,822.1,3268.5,133.7,81.994,84.9
12/31/1990,1057.5,2572.3,2905.8,#NA,#NA,293300,824.7,3277.7,134.2,82.128,85.55
1/31/1991,1055.6,2582.7,2922.3,#NA,#NA,297776,827.2,3293.7,134.7,82.545,87.26
2/28/1991,1064.7,2600.7,2946.6,#NA,#NA,300908,832.7,3310.5,134.8,82.638,84.88
3/29/1991,1059.4,2601.1,2953.9,#NA,#NA,302750,838.7,3327.9,134.8,82.658,85.72
4/30/1991,1064.6,2616.2,2970,#NA,#NA,303019,843.2,3339,135.1,82.793,85.91
5/31/1991,1070.7,2630.1,2987,#NA,#NA,304184,848.8,3349.6,135.6,83.141,85.42
6/28/1991,1073.9,2639.7,3003.5,#NA,#NA,305516,856.8,3358.5,136,83.283,86.71
7/31/1991,1081.6,2652.2,3027.1,#NA,#NA,307234,861.5,3362,136.2,83.429,86.06
8/30/1991,1085,2666.5,3051.3,#NA,#NA,309308,866.7,3360.8,136.6,83.626,85.56
9/30/1991,1083.2,2673.6,3065.8,#NA,#NA,310675,870.2,3360.6,137,83.927,85.93
10/31/1991,1088.1,2689.2,3089.2,#NA,#NA,312688,878,3366,137.2,84.097,85.83
11/29/1991,1090.7,2703.8,3108.8,#NA,#NA,314948,887.6,3371.4,137.8,84.311,87.01
12/31/1991,1096.3,2718.6,3129.6,#NA,#NA,317544,897,3378.1,138.2,84.574,86.42
1/31/1992,1092.7,2719.3,3136,#NA,#NA,319625,910.4,3386.7,138.3,84.753,86.69
2/28/1992,1092.4,2728.7,3151.5,#NA,#NA,322591,925.4,3405.6,138.6,84.988,87.44
3/31/1992,1101.7,2748.3,3175.7,#NA,#NA,324383,936.7,3409.5,139.1,85.205,86.59
4/30/1992,1112.6,2766.6,3208.3,#NA,#NA,326714,943.8,3405,139.4,85.391,86.49
5/29/1992,1115.9,2778.9,3233.4,#NA,#NA,328766,950.5,3404,139.7,85.508,85.99
6/30/1992,1110.8,2784.3,3249.7,#NA,#NA,330176,954.3,3399.8,140.1,85.678,85.41
7/31/1992,1113.5,2792.1,3270.6,#NA,#NA,333236,963.2,3400.1,140.5,85.987,85.09
8/31/1992,1117.8,2804.6,3286.7,#NA,#NA,336933,973.7,3404.8,140.8,86.123,84.21
9/30/1992,1129.6,2837.6,3333.3,#NA,#NA,340737,988.1,3416.4,141.1,86.259,83.78
10/30/1992,1131.5,2837.9,3335.6,#NA,#NA,344565,1003.8,3430.1,141.7,86.529,83.63
11/30/1992,1144.2,2858.8,3360.2,#NA,#NA,347655,1015.7,3432.6,142.1,86.673,82.97
12/31/1992,1145.9,2851.9,3363.6,#NA,#NA,350912,1024.9,3431.6,142.3,86.797,81.69
1/29/1993,1140.5,2861.8,3378.3,#NA,#NA,353698,1030.4,3426,142.8,86.977,81.59
2/26/1993,1142.3,2876.9,3396.5,#NA,#NA,355394,1033.5,3421.5,143.1,87.099,81.02
3/31/1993,1153.7,2908,3443.5,#NA,#NA,357874,1038.5,3418.7,143.3,87.272,81.08
4/30/1993,1153.7,2916.9,3448.8,#NA,#NA,360875,1047.6,3418,143.8,87.509,80.53
5/31/1993,1161.1,2938.4,3470.4,#NA,#NA,364949,1065.9,3443.5,144.2,87.774,80.65
6/30/1993,1168.2,2951.3,3480.3,#NA,#NA,367888,1075,3449.3,144.3,87.752,80.35
7/30/1993,1169.9,2961.6,3486.5,#NA,#NA,371485,1084.5,3449.1,144.5,87.869,80.27
8/31/1993,1177.2,2978.8,3504.5,#NA,#NA,374551,1094.2,3453.2,144.8,87.996,79.98
9/30/1993,1183.8,2992,3518.1,#NA,#NA,378268,1104.2,3460.1,145,88.073,81.21
10/29/1993,1197.3,3013,3540.4,#NA,#NA,381544,1113,3464.3,145.6,88.312,81.04
11/30/1993,1211.4,3035.4,3560.4,#NA,#NA,384050,1124.2,3478,146,88.485,80.87
12/31/1993,1218.9,3063.3,3584.9,#NA,#NA,386586,1129.6,3482.2,146.3,88.531,81.17
1/31/1994,1235.3,3086.1,3598.7,#NA,#NA,390226,1131.6,3483.2,146.3,88.577,81.88
2/28/1994,1242.9,3101.2,3606.1,#NA,#NA,393270,1136.3,3483.9,146.7,88.788,82.56
3/31/1994,1260.3,3129,3626.5,#NA,#NA,396077,1140.3,3489.6,147.1,89.016,83.26
4/29/1994,1255.9,3132.6,3632.1,#NA,#NA,398910,1141.1,3493.5,147.2,89.097,84.06
5/31/1994,1252.8,3135.3,3632.6,#NA,#NA,401443,1143.3,3503,147.5,89.236,83.78
6/30/1994,1262,3148.2,3645,#NA,#NA,404423,1145.1,3491.3,147.9,89.501,84.74
7/29/1994,1263.3,3155.5,3656.5,#NA,#NA,407846,1150.5,3499.6,148.4,89.86,85.3
8/31/1994,1270.5,3159.7,3658.4,#NA,#NA,409570,1150.6,3496.8,149,90.116,84.31
9/30/1994,1271,3161.2,3654.4,#NA,#NA,411756,1151.9,3497,149.3,90.235,85.67
10/31/1994,1277.2,3169.3,3670.1,#NA,#NA,414017,1150.1,3495.4,149.4,90.347,86.1
11/30/1994,1272.1,3165.9,3676.7,#NA,#NA,416755,1151,3498.3,149.8,90.501,87.02
12/30/1994,1271.9,3157,3670.3,#NA,#NA,418339,1150.7,3497.5,150.1,90.567,87.63
1/31/1995,1270.6,3157.8,3679.3,#NA,#NA,421054,1151.4,3503,150.5,90.755,86.99
2/28/1995,1279.9,3171.8,3700.4,#NA,0.3,421662,1147.5,3500.3,150.9,90.91,87.6
3/31/1995,1279.8,3177.3,3699.1,#NA,0.2,424694,1146.6,3501.3,151.2,91.061,87.27
4/28/1995,1281.1,3183.1,3710.2,#NA,0.2,427909,1149.3,3509.6,151.8,91.292,86.87
5/31/1995,1289.5,3199.3,3731.5,#NA,0.1,430527,1145.4,3534.6,152.1,91.421,87.74
6/30/1995,1291.1,3209.4,3749.2,#NA,0.2,430119,1144.1,3560,152.4,91.523,87.09
7/31/1995,1296.8,3220,3758.2,#NA,0.1,430783,1145.4,3578.5,152.6,91.657,86.98
8/31/1995,1301.9,3236.9,3785.6,#NA,0.3,431261,1145.5,3600.5,152.9,91.845,88.11
9/29/1995,1313.1,3255.3,3803.4,#NA,0.2,431904,1141.9,3612.8,153.1,91.901,87.19
10/31/1995,1311.2,3267.9,3819.3,#NA,0.1,432630,1137.3,3623.9,153.5,92.111,86.76
11/30/1995,1320.2,3282.7,3842.9,#NA,0.2,432961,1134.1,3631,153.7,92.13,87.14
12/29/1995,1348.8,3311.8,3876.4,#NA,0.2,434580,1127.4,3640.6,153.9,92.314,87.52
1/31/1996,1342.9,3320.4,3892.4,#NA,0.2,434879,1123.5,3658.3,154.7,92.566,86.54
2/29/1996,1343.2,3331.8,3909.6,#NA,0.2,432629,1118.6,3671.8,155,92.726,85.32
3/29/1996,1349,3339.3,3921.2,#NA,0.3,435906,1122.5,3697.5,155.5,92.984,86.26
4/30/1996,1361.8,3359.5,3934.2,#NA,0.2,436902,1124.8,3708.6,156.1,93.246,85.88
5/31/1996,1367,3366.5,3938.4,#NA,0.2,437425,1116.5,3719.5,156.4,93.41,86.91
6/28/1996,1370.5,3380.8,3947.2,#NA,0.1,440021,1115.2,3733.4,156.7,93.401,86.79
7/31/1996,1379.7,3397.2,3963.8,#NA,0.1,442586,1112.4,3748.5,157,93.586,86.27
8/30/1996,1391.3,3411.1,3982,#NA,0,444668,1101.6,3756.1,157.2,93.674,87.65
9/30/1996,1405.1,3431.2,4003.3,#NA,0.2,446057,1096.1,3765.1,157.7,93.916,87.27
10/31/1996,1417.6,3437.4,4008.3,#NA,0.2,446879,1085.8,3780.6,158.2,94.185,86.86
11/29/1996,1430.7,3453.7,4014.6,#NA,0.1,448822,1083.3,3797.6,158.7,94.367,87.16
12/31/1996,1458,3484.4,4036.7,#NA,0.2,452051,1081.3,3819.2,159.1,94.504,87.42
1/31/1997,1454.5,3480.4,4038,#NA,0.3,453612,1081.4,3833.8,159.4,94.615,86.52
2/28/1997,1461.6,3491.2,4052.4,#NA,0,454555,1078.8,3844.8,159.7,94.825,87.77
3/31/1997,1462.2,3495.6,4060.3,#NA,0,456265,1072.3,3859.5,159.8,94.903,87.9
4/30/1997,1463.1,3500,4069.8,#NA,-0.1,457829,1063.6,3875.9,159.9,94.958,89.47
5/30/1997,1480.6,3513.5,4095.6,#NA,0.2,459460,1064,3887.8,159.9,94.905,88.42
6/30/1997,1498.1,3533.5,4121.1,#NA,0.1,462098,1065.8,3903.8,160.2,95.02,89.57
7/31/1997,1512.1,3550.7,4146.2,#NA,0.2,464700,1066,3924.4,160.4,95.084,90.18
8/29/1997,1520.5,3557.8,4146,#NA,0.3,466996,1074.7,3953.8,160.8,95.169,90.65
9/30/1997,1531,3571.4,4169.6,#NA,0.1,469231,1067.6,3972.9,161.2,95.402,90.14
10/31/1997,1550.5,3592.6,4189.5,#NA,0.1,471846,1065.6,3990,161.5,95.497,91.42
11/28/1997,1553.8,3601.9,4202.5,#NA,0.2,476024,1070,4011.9,161.7,95.536,90.93
12/31/1997,1565.2,3616,4222.3,#NA,0.1,479931,1072.5,4033.4,161.8,95.573,92.06
1/30/1998,1573.3,3637.2,4242.3,#NA,0,482202,1074.4,4057.1,162,95.634,92.43
