Name,BR CPI NADJ,BR CHANGE IN CPI (%YOY) NADJ,BR US $ TO NATIONAL CURRENCY UNIT - EXCHANGE RATE (AVG),BR MONEY MARKET RATE ( FEDERAL FUNDS ),CH CHANGE IN CPI (%YOY) NADJ,CH NATIONAL CURRENCY UNIT TO US $ - EXCHANGE RATE (AVG),CH REAL EFFECTIVE EXCHANGE RATE INDEX - CPI BASED SADJ,CH DISCOUNT RATE (EP),FR CPI NADJ,FR CHANGE IN CPI (%YOY) NADJ,FR US $ TO 1 EURO (FRENCH FRANC DERIVED HISTORY PRIOR 1999),FR REAL EFFECTIVE EXCHANGE RATE INDEX - CPI BASED SADJ,FR TREASURY BILL RATE,US CPI NADJ,US CHANGE IN CPI (%YOY) NADJ,US REAL EFFECTIVE EXCHANGE RATE INDEX - CPI BASED SADJ,US MONEY MARKET RATE ( FEDERAL FUNDS ),MX CPI (BASE 2002) NADJ,MX CPI: ANNUAL INFLATION RATE,MX MEXICAN PESOS TO US $-CENTRAL BANK SETTLEMENT RATE (AVG),MX EXCHANGE RATE REAL INDEX NADJ,"MX INTERNATIONAL RESERVES (US$, EP) CURN",#ERROR,#ERROR,JP NATIONAL CURRENCY UNIT TO US $ - MARKET RATE (AVG),JP MONEY MARKET RATE (OVERNIGHT LOANS)
Code,BRI64.A.F,BRI64..XF,BRI..AH.,BRI60B..,CHI64..XF,CHI..AF.,CHI..RECE,CHI60...,FRI64...F,FRI64..XF,FRXRUSE.,FRI..RECE,FRI60C..,USI64...F,USI64..XF,USI..RECE,USI60B..,MXCONPRCF,MXCPANNL,MXXRUSD.,MXXTW..RF,MXRESWUDA,,,JPI..RF.,JPI60B..
1/15/1950,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,0.009,#NA,#NA,#NA,#NA,"$$""ER"", E601, DATA FOR JPY64...F CANNOT BE RETRIEVED AT REQUESTED FREQUENCY","$$""ER"", E601, DATA FOR JPY64..XF CANNOT BE RETRIEVED AT REQUESTED FREQUENCY",#NA,#NA
2/15/1950,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,0.009,#NA,#NA,#NA,#NA,,,#NA,#NA
3/15/1950,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,0.01,#NA,#NA,#NA,#NA,,,#NA,#NA
4/15/1950,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,0.01,#NA,#NA,#NA,#NA,,,#NA,#NA
5/15/1950,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,0.01,#NA,#NA,#NA,#NA,,,#NA,#NA
6/15/1950,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,0.01,#NA,#NA,#NA,#NA,,,#NA,#NA
7/15/1950,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,0.01,#NA,#NA,#NA,#NA,,,#NA,#NA
8/15/1950,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,0.01,#NA,#NA,#NA,#NA,,,#NA,#NA
9/15/1950,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,0.01,#NA,#NA,#NA,#NA,,,#NA,#NA
10/15/1950,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,0.011,#NA,#NA,#NA,#NA,,,#NA,#NA
11/15/1950,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,0.011,#NA,#NA,#NA,#NA,,,#NA,#NA
12/15/1950,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,0.011,#NA,#NA,#NA,#NA,,,#NA,#NA
1/15/1951,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,0.011,#NA,#NA,#NA,#NA,,,#NA,#NA
2/15/1951,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,#NA,0.012,#NA,#NA,#NA,#NA,,,#NA,#NA
