Year,WLD,USA,GBR,FRA,GER,AUS,JPN,ARG,BRZ,CHL,MEX,VEN,CUB,CHN,IND
1870,,2445,3190,1876,1839,,737,,,,,,,530,533
1871,,2489,3332,1899,1817,,742,,,,,,,,
1872,,2524,3319,2078,1931,,746,,,,,,,,
1873,,2562,3365,1922,1999,,751,,,,,,,,
1874,,2601,3386,2157,2124,,756,,,,,,,,
1875,,2643,3434,2219,2122,,810,,,,,,,,
1876,,2686,3430,2028,2071,,785,,,,,,,,
1877,,2732,3425,2127,2033,,803,,,,,,,,
1878,,2780,3403,2091,2103,,794,,,,,,,,
1879,,2829,3353,1953,2029,,835,,,,,,,,
1880,,2880,3477,2120,1991,,863,,,,,,,,
1881,,2921,3568,2194,2025,,829,,,,,,,,
1882,,2963,3643,2288,2044,,844,,,,,,,,
1883,,3008,3643,2288,2143,,837,,,,,,,,
1884,,3056,3622,2253,2178,,836,,,,,,,,551
1885,,3106,3574,2207,2216,,860,,,,,,,,567
1886,,3158,3600,2237,2211,,916,,,,,,,,548
1887,,3213,3713,2249,2275,,952,,,,,,,,572
1888,,3270,3849,2269,2341,,900,,,,,,,,576
1889,,3330,4024,2322,2379,,933,,,,,,,,559
1890,,3392,4009,2376,2428,,1012,,,,,,,540,584
1891,,3467,3975,2432,2397,,956,,,,,,,,529
1892,,3728,3846,2493,2469,,1013,,,,,,,,571
1893,,3478,3811,2535,2565,,1008,,,,,,,,584
1894,,3314,4029,2626,2598,,1119,,,,,,,,592
1895,,3644,4118,2569,2686,,1123,,,,,,,,577
1896,,3504,4249,2685,2740,,1051,,,,,,,,533
1897,,3769,4264,2639,2775,,1062,,,,,,,,630
1898,,3780,4428,2760,2848,,1249,,,,,,,,630
1899,,4051,4567,2911,2905,,1143,,,,,,,,580
1900,,4091,4492,2876,2985,,1180,2756,678,1949,1366,821,,545,599
1901,,4464,4450,2826,2871,,1206,2880,730,1990,1466,797,,,608
1902,,4421,4525,2775,2893,,1129,2717,715,2033,1348,856,,,655
1903,,4551,4440,2831,3008,,1193,2992,714,2074,1483,913,,,660
1904,,4410,4428,2847,3083,,1188,3191,713,2120,1492,876,,,659
1905,,4642,4520,2894,3104,,1157,3479,718,2164,1630,861,,,643
1906,,5079,4631,2943,3152,,1297,3518,770,2210,1594,799,,,657
1907,,5065,4679,3070,3245,,1325,3459,755,2257,1669,793,,,614
1908,,4561,4449,3045,3254,,1318,3657,734,2303,1649,841,,,619
1909,,5017,4511,3167,3275,,1301,3699,776,2313,1680,865,,,790
1910,,4964,4611,2965,3348,,1304,3822,769,2472,1694,886,,,834
1911,,5046,4709,3250,3408,,1356,3746,836,2420,1707,937,,,870
1912,,5201,4762,3514,3524,,1384,3904,809,2656,1718,962,,,867
1913,,5301,4921,3485,3648,,1387,3797,811,2653,1732,1104,,552,904
1914,,4799,4927,3236,3059,,1327,3302,780,2440,1744,956,,,709
1915,,4864,5288,3248,2899,,1430,3244,798,2238,1757,980,,,691
1916,,5459,5384,3463,2935,,1630,3091,804,2620,1770,921,,,710
1917,,5248,5421,2979,2952,,1665,2790,842,2794,1783,1069,,,697
1918,,5659,5459,2396,2983,,1668,3248,808,2763,1796,1057,,,607
1919,,5680,4870,2811,2586,,1827,3307,895,2155,1810,983,,,690
1920,,5552,4548,3227,2796,,1696,3473,963,2430,1823,1173,,,635
1921,,5323,4439,3075,3078,,1860,3471,859,2064,1836,1214,,,679
1922,,5540,4637,3610,3331,,1831,3636,1009,2179,1850,1241,,,701
1923,,6164,4760,3754,2750,,1809,3898,1046,2676,1884,1420,,,671
1924,,6233,4921,4179,3199,,1836,4055,1024,2880,1825,1630,,,697
1925,,6282,5144,4166,3532,,1885,3919,1007,2876,1908,2081,,,698
1926,,6602,4936,4249,3605,,1872,3994,1008,2767,1991,2487,,,713
1927,,6576,5315,4154,3941,,1870,4156,1060,2618,1875,2761,,,706
1928,,6569,5357,4431,4090,,1992,4291,1158,3136,1857,3057,,,706
1929,,6899,5503,4710,4051,,2026,4367,1137,3396,1757,3426,1639,562,728
1930,,6213,5441,4532,3973,,1850,4080,1048,3143,1618,3444,1505,567,726
1931,,5691,5138,4235,3652,,1837,3712,1004,2333,1643,2754,1241,569,711
1932,,4908,5148,3959,3362,,1962,3522,1018,2274,1373,2613,977,583,709
1933,,4777,5277,4239,3556,,2122,3621,1076,2652,1501,2831,1038,578,700
1934,,5114,5608,4192,3858,,2098,3845,1142,2976,1574,2995,1982,525,697
1935,,5467,5799,4086,4120,,2120,3950,1150,2987,1660,3181,1371,565,680
1936,,6204,6035,4244,4451,,2244,3912,1235,3056,1768,3449,1573,597,697
1937,,6430,6218,4487,4685,,2315,4125,1250,3241,1796,3896,1779,580,676
1938,,6126,6266,4466,4994,,2449,4072,1276,3139,1794,4144,1358,562,668
1939,,6561,6262,4793,5406,,2816,4148,1263,3178,1858,4305,1411,,674
1940,,7010,6856,4042,5403,,2874,4161,1250,3259,1852,4045,1208,,686
1941,,8206,7482,3309,5711,,2873,4304,1307,3205,1949,3903,1599,,691
1942,,9741,7639,2981,5740,,2818,4284,1229,3322,2032,3347,1321,,679
1943,,11518,7744,2860,5890,,2822,4182,1368,3400,2051,3575,1442,,698
1944,,12333,7405,2422,6084,,2659,4579,1386,3388,2159,4309,1631,,683
1945,,11709,7056,2573,4514,,1346,4356,1390,3630,2134,5102,1776,,664
1946,,9197,6745,3855,2217,,1444,4665,1501,3786,2211,5948,1893,,622
1947,,8886,6604,4138,2436,,1541,5089,1518,3470,2221,6894,2121,,618
1948,,9065,6746,4393,2834,,1725,5252,1596,3806,2248,7394,1842,,617
1949,,8944,6956,4946,3282,,1800,5047,1659,3715,2304,7544,1958,,624
1950,2111,9561,6939,5271,3881,,1921,4987,1672,3821,2365,7462,2046,439,619
1951,2197,10116,7123,5553,4206,,2126,5073,1702,3883,2477,7663,2176,479,623
1952,2261,10316,7091,5659,4553,,2336,4717,1752,4024,2504,7992,2207,537,629
1953,2332,10613,7346,5783,4905,,2474,4874,1784,4159,2439,7956,1900,554,657
1954,2367,10359,7619,6020,5247,,2582,4980,1848,4101,2605,8417,1957,558,672
1955,2469,10897,7868,6312,5797,,2771,5237,1926,4016,2742,8750,2005,575,676
1956,2537,10914,7929,6568,6177,,2948,5285,1896,3954,2843,9124,2145,619,701
1957,2581,10920,8017,6890,6492,,3136,5461,1994,4269,2965,10058,2406,637,680
1958,2609,10631,7966,6988,6737,,3289,5698,2111,4282,3025,9816,2363,693,716
