Country,Id,Year,Quality,Pop,N,Fertility,Birth,Mortality,X,K,D,Delta,d,k,x,rho,x_fc,rho_fc,ws,w,v,i,c,gX,chi,gamma,B,a,o,b,YPop,YL,KL
Afghanistan,AFG,1983,,12935,4199321,7.807,50.951,23.927,13264169318,10997005192,,,,2618.8,3158.6,1.2062,2560.7,1.0983,,,,371.5,2787.1,0.483,,4.023,688000000,0.06256,0.05187,163.8,1025447.957,3158.6462,2618.757935
Afghanistan,AFG,1984,,13388,4330781,7.829,51.016,23.752,13507551248,11455330202,1135548756,9.91,262.2,2645.1,3119,1.1791,2521.2,1.0702,,,,368,2750.9,1.403,,4.659,772000000,0.06739,0.05715,178.3,1008929.732,3118.964281,2645.0957
Afghanistan,AFG,1985,,13797,4454820,7.85,51.084,23.586,13543446697,11836575991,1213289134,10.25,272.4,2657,3040.2,1.1442,2472.2,1.0422,,,,357.9,2682.2,2.203,,4.277,957000000,0.08085,0.07066,214.8,981622.5772,3040.178211,2657.026769
Afghanistan,AFG,1986,,13856,4466183,7.871,51.156,23.422,13949009280,12301593598,1177922200,9.58,263.7,2754.4,3123.3,1.1339,2414.1,1.0146,,,,367.9,2755.4,2.366,,2.556,857000000,0.06967,0.06144,191.9,1006712.564,3123.250722,2754.386374
Afghanistan,AFG,1987,,13868,4455273,7.893,51.237,23.262,12517665577,12575698776,1200878611,9.55,269.5,2822.7,2809.6,0.9954,2348,0.9876,,,,331.1,2478.6,-0.197,,-1.424,852000000,0.06775,0.06806,191.2,902629.4763,2809.629304,2822.655037
Afghanistan,AFG,1988,,14076,4514686,7.915,51.325,23.106,11482413258,12653345563,1274687825,10.07,282.3,2802.7,2543.3,0.9075,2275.7,0.9616,,,,299.5,2243.8,-2.885,-5.691,-4.333,782000000,0.0618,0.0681,173.2,815744.0507,2543.347036,2802.707777
Afghanistan,AFG,1989,,14512,4645248,7.937,51.417,22.954,10672307661,12579747377,1330655053,10.58,286.5,2708.1,2297.5,0.8484,2199.2,0.9372,,,,270.6,2026.9,-4.712,-6.585,-6.114,757000000,0.06018,0.07093,163,735412.6007,2297.467791,2708.089509
Afghanistan,AFG,1990,,14669,4677090,7.96,51.51,22.814,10339158345,12313127407,1484491734,12.06,317.4,2632.6,2210.6,0.8397,2121,0.9147,,,,260.4,1950.2,-5.399,-6.189,-6.373,730000000,0.05929,0.07061,156.1,704830.4823,2210.596406,2632.647096
Afghanistan,AFG,1991,,14872,4722170,7.984,51.603,22.693,9559564711,12039475076,1393062210,11.57,295,2549.6,2024.4,0.794,2043.7,0.8944,,,,237.1,1787.3,-7.557,-7.127,-8.672,680000000,0.05648,0.07113,144,642789.4507,2024.400797,2549.564094
Afghanistan,AFG,1992,,16318,5169192,8.01,51.69,22.596,9968211107,11742570616,1457290217,12.41,281.9,2271.6,1928.4,0.8489,1969.9,0.8766,,,,224.5,1703.9,-4.555,-3.184,-7.527,389000000,0.03313,0.03902,75.3,610872.111,1928.388635,2271.645282
