BLcode,country,year,sex,agefrom,ageto,lu,lp,lpc,ls,lsc,lh,lhc,yr_sch,yr_sch_pri,yr_sch_sec,yr_sch_ter,pop,WBcode,region_code
131,Australia,1950,MF,25,999,1.3,48.1,28.1,36.1,18.1,14.5,9.5,8.4827,5.3254,2.6772,0.4801,4837,AUS,Advanced Economies
131,Australia,1955,MF,25,999,1.2,44.3,25.3,38.6,19.1,16,10.3,8.7807,5.3661,2.8884,0.5262,5327,AUS,Advanced Economies
131,Australia,1960,MF,25,999,1,40.3,22.4,41.3,20.4,17.4,11.3,9.0826,5.4027,3.1044,0.5755,5742,AUS,Advanced Economies
131,Australia,1965,MF,25,999,1,37.1,20,43.2,21.3,18.7,12.2,9.3184,5.4261,3.2753,0.6171,6242,AUS,Advanced Economies
131,Australia,1970,MF,25,999,0.9,29.3,15.4,48.3,24,21.5,14,9.9392,5.528,3.7018,0.7094,6834,AUS,Advanced Economies
131,Australia,1975,MF,25,999,1.1,18.5,9.5,56.6,30,23.9,15.5,10.7457,5.6644,4.2946,0.7867,7494,AUS,Advanced Economies
131,Australia,1980,MF,25,999,1,7.8,4.1,64.8,35.6,26.4,17.1,11.5861,5.829,4.8874,0.8697,8382,AUS,Advanced Economies
131,Australia,1985,MF,25,999,1,7.7,3.8,65.4,36.9,26,17.2,11.5963,5.8233,4.9101,0.8629,9297,AUS,Advanced Economies
131,Australia,1990,MF,25,999,0.8,6.3,3.2,66.8,38.7,26.1,17.2,11.734,5.8567,5.0113,0.866,10445,AUS,Advanced Economies
131,Australia,1995,MF,25,999,0.7,5.6,2.9,67.3,39.4,26.5,17.7,11.831,5.8796,5.0686,0.8829,11351,AUS,Advanced Economies
131,Australia,2000,MF,25,999,0.5,4.9,2.6,66.8,40.2,27.7,18.6,11.8624,5.9003,5.0359,0.9262,12409,AUS,Advanced Economies
131,Australia,2005,MF,25,999,0.6,4.3,2.5,64.2,38.8,30.9,20.6,11.9358,5.908,4.9975,1.0303,13384,AUS,Advanced Economies
131,Australia,2010,MF,25,999,0.6,3.4,2.1,62.3,38.5,33.8,22.4,12.0377,5.9253,4.9899,1.1224,14424,AUS,Advanced Economies
107,Austria,1950,MF,25,999,2.8,91,54.3,4,2.7,2.1,1.4,3.6522,3.1496,0.4334,0.0692,4406,AUT,Advanced Economies
107,Austria,1955,MF,25,999,2.5,90.9,54.7,4.3,2.9,2.1,1.4,3.7038,3.1719,0.4612,0.0706,4459,AUT,Advanced Economies
