"country","isocode","year","POP","LPOP","YPOP","YL","KL","KY","TFP","ED15","ED25","I"
"Afghanistan","AFG",1950,8150.368,NA,NA,NA,NA,NA,NA,0.2536,0.1215,NA
"Afghanistan","AFG",1951,8284.473,NA,NA,NA,NA,NA,NA,0.2608,0.1315,NA
"Afghanistan","AFG",1952,8425.333,NA,NA,NA,NA,NA,NA,0.268,0.1415,NA
"Afghanistan","AFG",1953,8573.217,NA,NA,NA,NA,NA,NA,0.2752,0.1515,NA
"Afghanistan","AFG",1954,8728.408,NA,NA,NA,NA,NA,NA,0.2824,0.1615,NA
"Afghanistan","AFG",1955,8891.209,NA,NA,NA,NA,NA,NA,0.2896,0.1715,NA
"Afghanistan","AFG",1956,9061.938,NA,NA,NA,NA,NA,NA,0.30266,0.17998,NA
"Afghanistan","AFG",1957,9240.934,NA,NA,NA,NA,NA,NA,0.31572,0.18846,NA
"Afghanistan","AFG",1958,9428.556,NA,NA,NA,NA,NA,NA,0.32878,0.19694,NA
"Afghanistan","AFG",1959,9624.606,NA,NA,NA,NA,NA,NA,0.34184,0.20542,NA
"Afghanistan","AFG",1960,9829.45,NA,NA,NA,NA,NA,NA,0.3549,0.2139,NA
"Afghanistan","AFG",1961,10043.473,NA,NA,NA,NA,NA,NA,0.36808,0.22894,NA
"Afghanistan","AFG",1962,10267.083,NA,NA,NA,NA,NA,NA,0.38126,0.24398,NA
"Afghanistan","AFG",1963,10500.711,NA,NA,NA,NA,NA,NA,0.39444,0.25902,NA
"Afghanistan","AFG",1964,10744.167,NA,NA,NA,NA,NA,NA,0.40762,0.27406,NA
"Afghanistan","AFG",1965,10997.885,NA,NA,NA,NA,NA,NA,0.4208,0.2891,NA
"Afghanistan","AFG",1966,11262.324,NA,NA,NA,NA,NA,NA,0.47416,0.30168,NA
"Afghanistan","AFG",1967,11537.966,NA,NA,NA,NA,NA,NA,0.52752,0.31426,NA
"Afghanistan","AFG",1968,11825.32,NA,NA,NA,NA,NA,NA,0.58088,0.32684,NA
"Afghanistan","AFG",1969,12122.74,NA,NA,NA,NA,NA,NA,0.63424,0.33942,NA
"Afghanistan","AFG",1970,12430.623,0.277379052822745,1041.175816,3753.620922,7249.22519424209,1.93126193211316,193.948554615136,0.6876,0.352,1878698051.72713
"Afghanistan","AFG",1971,12749.385,0.27684849343698,982.5755639,3549.145425,7188.89494680489,2.02552842612948,183.894927112099,0.73452,0.40624,2004196184.2971
"Afghanistan","AFG",1972,13079.46,0.276317933989828,930.4053343,3367.155077,7154.22512394258,2.12470912694544,174.746673788862,0.78144,0.46048,1753987287.13778
"Afghanistan","AFG",1973,13421.301,0.275787374618375,995.919603,3611.186351,7040.16239789365,1.94954281324865,188.417978995814,0.82836,0.51472,1753589864.91882
"Afghanistan","AFG",1974,13772.076,0.275256815203702,1060.519461,3852.836342,6924.21318421727,1.79717293172721,202.142245101865,0.87528,0.56896,2256258818.17635
"Afghanistan","AFG",1975,14132.019,0.274726255773224,1090.234899,3968.440861,6936.37684193958,1.74788464409463,208.085756074276,0.9222,0.6232,2609495090.16189
"Afghanistan","AFG",1976,14501.369,0.274195696455568,1167.141336,4256.599761,7022.69632920137,1.64983712904958,222.277167144851,0.98154,0.6552,3895096168.65387
"Afghanistan","AFG",1977,14880.372,0.273665136983246,1174.899191,4293.200091,7402.17063170932,1.72416157523773,220.289991351925,1.04088,0.6872,3665747051.69135
"Afghanistan","AFG",1978,15269.281,0.273134577576439,1208.818846,4425.726163,7672.94672383443,1.73371474900139,224.386717114685,1.10022,0.7192,4244862589.30221
"Afghanistan","AFG",1979,15555.612,0.272604018136225,1150.948497,4222.052576,8094.61137589071,1.91722183231541,210.276934048589,1.15956,0.7512,3967667599.9578
"Afghanistan","AFG",1980,15043.603,0.272073458674193,1144.806961,4207.71275,8852.63476254512,2.10390663253929,203.402007564179,1.2189,0.7832,3787463199.1272
"Afghanistan","AFG",1981,13673.679,0.271585601043272,1289.225751,4747.032781,10191.5226276505,2.146924847126,218.948785118817,1.29004,0.8576,3946136753.8969
"Afghanistan","AFG",1982,12577.431,0.270632798166554,1428.540985,5278.521283,11611.0042398078,2.19966987292487,233.107197105338,1.36118,0.932,3985288211.02167
"Afghanistan","AFG",1983,12430.58,0.270123068922865,1516.487847,5614.062705,12251.0012095425,2.18219885549755,243.530521162095,1.43232,1.0064,4182385275.4223
"Afghanistan","AFG",1984,12753.843,0.269157192382117,1505.683319,5594.066819,12482.6959462922,2.23141702632069,241.152361342861,1.50346,1.0808,4272833489.02054
"Afghanistan","AFG",1985,13093.708,0.268654860141473,1470.194977,5472.430226,12665.2103464341,2.3143667115682,234.770088660119,1.5746,1.1552,4274582762.65282
"Afghanistan","AFG",1986,13084.962,0.268189914698363,1515.260662,5649.953928,13151.9970046759,2.32780606218704,239.357848594536,1.62466,1.21906,4404355891.78845
"Afghanistan","AFG",1987,12999.488,0.267306080168597,1368.780232,5120.647578,13752.8094871348,2.68575590833891,213.727830880773,1.67472,1.28292,3954124403.17433
"Afghanistan","AFG",1988,13093.817,0.26685817591498,1246.465604,4670.891569,13987.6786071934,2.99464853777115,193.858376166434,1.72478,1.34678,3625330388.69297
"Afghanistan","AFG",1989,13407.135,0.266337615754146,1131.457008,4248.205815,13881.508425518,3.26761673751864,176.763799773198,1.77484,1.41064,3369923674.54554
"Afghanistan","AFG",1990,13449.366,0.265284662603126,1092.699667,4118.970378,14003.7835131767,3.3998262254987,170.886152829364,1.8249,1.4745,3264879856.54508
"Afghanistan","AFG",1991,13527.169,0.263876411400399,972.1670297,3684.175575,14072.3519186744,3.81967461436048,152.59890708342,1.89684,1.54806,2927402203.21649
"Afghanistan","AFG",1992,14855.198,0.262529123497335,903.9125497,3443.09438,12857.8971812381,3.73440160569693,146.968956720818,1.96878,1.62162,2994966672.81131
"Afghanistan","AFG",1993,16819.735,0.261259330940595,601.9846277,2304.165082,11408.1722465297,4.95110890085511,102.354804785352,2.04072,1.69518,2262701701.7493
"Afghanistan","AFG",1994,18287.708,0.260035769809444,432.4809726,1663.159545,10385.1008856327,6.24420003291548,76.230775749602,2.11266,1.76874,1770842168.61199
"Afghanistan","AFG",1995,19225.942,0.258821063514617,619.8245698,2394.799563,9685.05588089181,4.04420312686178,112.348805656935,2.1846,1.8423,2673184318.03462
"Afghanistan","AFG",1996,19864.649,0.258101173550834,570.9474535,2212.107158,9357.19411815353,4.22999133849081,104.976224214854,2.31102,1.89358,2549260720.26899
"Afghanistan","AFG",1997,20490.223,0.256838074273133,527.5741884,2054.11207,9053.56500402442,4.40753215769012,98.5562702616351,2.43744,1.94486,2434257078.65484
"Afghanistan","AFG",1998,21132.123,0.255622682896625,490.8765971,1920.317053,8741.71288784508,4.55222374565096,93.2196409361278,2.56386,1.99614,2339453609.54306
"Afghanistan","AFG",1999,21821.568,0.254565094168853,454.2412596,1784.381559,8411.7929530844,4.71412233031512,87.738768590903,2.69028,2.04742,2241106985.44126
"Afghanistan","AFG",2000,22020.952,0.251159038719129,427.6499954,1702.705973,8346.95990879914,4.90217338821724,83.9389534886789,2.8167,2.0987,2132068212.24432
"Afghanistan","AFG",2001,22022.199,0.251137431539296,406.472403,1618.525763,8231.87711842439,5.08603403579211,80.1591906843367,2.93182,2.17334,2120055293.4502
"Afghanistan","AFG",2002,23050.743,0.251353724291193,615.0989204,2447.144645,7752.24059701208,3.16787183497773,123.64708794486,3.04694,2.24798,2697179414.95548
"Afghanistan","AFG",2003,24388.58,0.251776357224246,704.6688127,2798.788657,7315.05691533833,2.61365105115843,144.177514799323,3.16206,2.32262,4300769388.43348
"Afghanistan","AFG",2004,25001.339,0.25288687336622,696.6976401,2754.977476,7358.40124331085,2.67094787794586,141.641406498673,3.27718,2.39726,5283891810.7874
