Country,Variable,Sex,Variant,Year,Age,Value,,
Japan,Population by five-year age group and sex (thousands),Total,Medium variant,2010, 0-4,5207,0-10,10861
Japan,Population by five-year age group and sex (thousands),Total,Medium variant,2010, 5-9,5654,,11932
Japan,Population by five-year age group and sex (thousands),Total,Medium variant,2010, 10-14,5895,,14149
Japan,Population by five-year age group and sex (thousands),Total,Medium variant,2010, 15-19,6037,,18317
Japan,Population by five-year age group and sex (thousands),Total,Medium variant,2010, 20-24,6596,,16675
Japan,Population by five-year age group and sex (thousands),Total,Medium variant,2010, 25-29,7553,,16354
Japan,Population by five-year age group and sex (thousands),Total,Medium variant,2010, 30-34,8476,,18073
Japan,Population by five-year age group and sex (thousands),Total,Medium variant,2010, 35-39,9841,,12579
Japan,Population by five-year age group and sex (thousands),Total,Medium variant,2010, 40-44,8677,,6569
Japan,Population by five-year age group and sex (thousands),Total,Medium variant,2010, 45-49,7998,,1487
Japan,Population by five-year age group and sex (thousands),Total,Medium variant,2010, 50-54,7643,,
Japan,Population by five-year age group and sex (thousands),Total,Medium variant,2010, 55-59,8711,,
Japan,Population by five-year age group and sex (thousands),Total,Medium variant,2010, 60-64,10040,,
Japan,Population by five-year age group and sex (thousands),Total,Medium variant,2010, 65-69,8033,,
Japan,Population by five-year age group and sex (thousands),Total,Medium variant,2010, 70-74,6801,,
Japan,Population by five-year age group and sex (thousands),Total,Medium variant,2010, 75-79,5778,,
Japan,Population by five-year age group and sex (thousands),Total,Medium variant,2010, 80-84,4188,,
Japan,Population by five-year age group and sex (thousands),Total,Medium variant,2010, 85-89,2381,,
Japan,Population by five-year age group and sex (thousands),Total,Medium variant,2010, 90-94,1048,,
Japan,Population by five-year age group and sex (thousands),Total,Medium variant,2010, 95-99,357,,
Japan,Population by five-year age group and sex (thousands),Total,Medium variant,2010, 100+,82,,
Japan,Population by five-year age group and sex (thousands),Total,Medium variant,2050, 0-4,3650,,7445
Japan,Population by five-year age group and sex (thousands),Total,Medium variant,2050, 5-9,3795,,8048
Japan,Population by five-year age group and sex (thousands),Total,Medium variant,2050, 10-14,3954,,8527
Japan,Population by five-year age group and sex (thousands),Total,Medium variant,2050, 15-19,4094,,9457
Japan,Population by five-year age group and sex (thousands),Total,Medium variant,2050, 20-24,4202,,11194
Japan,Population by five-year age group and sex (thousands),Total,Medium variant,2050, 25-29,4325,,12073
Japan,Population by five-year age group and sex (thousands),Total,Medium variant,2050, 30-34,4535,,13544
Japan,Population by five-year age group and sex (thousands),Total,Medium variant,2050, 35-39,4922,,15506
Japan,Population by five-year age group and sex (thousands),Total,Medium variant,2050, 40-44,5384,,10478
Japan,Population by five-year age group and sex (thousands),Total,Medium variant,2050, 45-49,5810,,5386
Japan,Population by five-year age group and sex (thousands),Total,Medium variant,2050, 50-54,6011
Japan,Population by five-year age group and sex (thousands),Total,Medium variant,2050, 55-59,6062
Japan,Population by five-year age group and sex (thousands),Total,Medium variant,2050, 60-64,6445
Japan,Population by five-year age group and sex (thousands),Total,Medium variant,2050, 65-69,7099
Japan,Population by five-year age group and sex (thousands),Total,Medium variant,2050, 70-74,7526
Japan,Population by five-year age group and sex (thousands),Total,Medium variant,2050, 75-79,7980
Japan,Population by five-year age group and sex (thousands),Total,Medium variant,2050, 80-84,6073
Japan,Population by five-year age group and sex (thousands),Total,Medium variant,2050, 85-89,4405
Japan,Population by five-year age group and sex (thousands),Total,Medium variant,2050, 90-94,2861
Japan,Population by five-year age group and sex (thousands),Total,Medium variant,2050, 95-99,1741
Japan,Population by five-year age group and sex (thousands),Total,Medium variant,2050, 100+,784

"Source: Population Division of the Department of Economic and Social Affairs of the United Nations Secretariat, World Population Prospects: The 2008 Revision, http://esa.un.org/unpp, Friday, January 29, 2010; 4:25:14 PM.",,,,,,
